acquisition_id,customer_id,campaign_id,channel,acquisition_date,cpa
ACQ-0032,CUST-0603,CMP-2025-01,Social Organic,2025-12-13,32.95
ACQ-0033,CUST-0595,CMP-2025-02,Instagram Reels,2025-04-09,30.71
ACQ-0034,CUST-0278,CMP-2025-04,Google Shopping,2025-10-01,22.71
ACQ-0035,CUST-0409,CMP-2025-05,Meta Retargeting,2025-12-19,19.94
ACQ-0036,CUST-0707,CMP-2025-02,Instagram Reels,2025-03-18,32.24
ACQ-0037,CUST-1150,CMP-2025-02,TikTok,2025-03-05,20.92
ACQ-0038,CUST-0260,CMP-2025-01,Email Newsletter,2025-10-28,26.26
ACQ-0039,CUST-0970,CMP-2025-01,Meta Ads,2025-01-24,40.34
ACQ-0040,CUST-0663,CMP-2025-01,Google Search,2025-01-18,28.5
ACQ-0041,CUST-0494,CMP-2025-04,Google Shopping,2025-10-25,26.84
ACQ-0042,CUST-0341,CMP-2025-01,Direct Traffic,2025-05-23,38.24
ACQ-0043,CUST-0514,CMP-2025-05,Google Remarketing,2025-12-17,22.68
ACQ-0044,CUST-0784,CMP-2025-01,Google Search,2025-01-22,30.86
ACQ-0045,CUST-0520,CMP-2025-01,LinkedIn,2025-01-27,24.96
ACQ-0046,CUST-0079,CMP-2025-05,SMS,2025-11-29,22.66
ACQ-0047,CUST-0128,CMP-2025-05,Meta Retargeting,2025-12-07,33.89
ACQ-0048,CUST-0751,CMP-2025-04,YouTube Video Ads,2025-10-27,34.24
ACQ-0049,CUST-0172,CMP-2025-01,Meta Ads,2025-01-27,34.68
ACQ-0050,CUST-0638,CMP-2025-03,Email Marketing,2025-05-22,31.85
ACQ-0051,CUST-0177,CMP-2025-05,Meta Retargeting,2025-11-21,37.04
ACQ-0052,CUST-0631,CMP-2025-01,Direct Traffic,2025-11-25,36.06
ACQ-0053,CUST-0572,CMP-2025-03,Instagram,2025-06-10,24.91
ACQ-0054,CUST-0542,CMP-2025-03,Email Marketing,2025-06-21,36.65
ACQ-0055,CUST-0076,CMP-2025-01,Direct Traffic,2025-10-27,31.14
ACQ-0056,CUST-0592,CMP-2025-05,SMS,2025-12-25,37.17
ACQ-0057,CUST-0535,CMP-2025-01,LinkedIn,2025-02-12,22.88
ACQ-0058,CUST-0070,CMP-2025-01,Meta Ads,2025-02-01,22.23
ACQ-0059,CUST-0384,CMP-2025-01,Email Newsletter,2025-06-06,31.35
ACQ-0060,CUST-0891,CMP-2025-01,Direct Traffic,2025-08-31,24.44
ACQ-0061,CUST-0822,CMP-2025-02,Instagram Reels,2025-04-02,28.51
ACQ-0062,CUST-0336,CMP-2025-03,Pinterest,2025-06-22,23.16
ACQ-0063,CUST-0709,CMP-2025-02,Influencer,2025-03-30,21.97
ACQ-0064,CUST-0895,CMP-2025-02,Influencer,2025-03-10,38.37
ACQ-0065,CUST-0965,CMP-2025-04,Google Shopping,2025-11-14,34.21
ACQ-0066,CUST-0652,CMP-2025-01,Social Organic,2025-03-10,39.6
ACQ-0067,CUST-0711,CMP-2025-05,SMS,2025-11-21,22.69
ACQ-0068,CUST-0816,CMP-2025-01,Direct Traffic,2025-11-27,30.25
ACQ-0069,CUST-0696,CMP-2025-02,Instagram Reels,2025-03-28,25.81
ACQ-0070,CUST-0335,CMP-2025-05,Meta Retargeting,2025-11-26,26.64
ACQ-0071,CUST-0264,CMP-2025-04,Meta Ads,2025-11-13,29.92
ACQ-0072,CUST-1029,CMP-2025-04,YouTube Video Ads,2025-11-15,41.34
ACQ-0073,CUST-0164,CMP-2025-03,Email Marketing,2025-06-29,23.14
ACQ-0074,CUST-0249,CMP-2025-01,Organic Search,2025-08-24,39.4
ACQ-0075,CUST-0049,CMP-2025-02,Instagram Reels,2025-03-19,18.91
ACQ-0076,CUST-0732,CMP-2025-01,Email Newsletter,2025-09-30,24.34
ACQ-0077,CUST-0297,CMP-2025-04,Google Shopping,2025-10-18,34.69
ACQ-0078,CUST-0084,CMP-2025-03,Pinterest,2025-05-17,41.46
ACQ-0079,CUST-0163,CMP-2025-01,Direct Traffic,2025-08-10,31.92
ACQ-0080,CUST-0767,CMP-2025-02,Influencer,2025-03-28,34.69
ACQ-0081,CUST-0372,CMP-2025-03,Instagram,2025-05-15,18.94
ACQ-0082,CUST-0862,CMP-2025-03,Email Marketing,2025-06-18,40.35
ACQ-0083,CUST-0311,CMP-2025-04,YouTube Video Ads,2025-10-14,22.5
ACQ-0084,CUST-0997,CMP-2025-03,Pinterest,2025-05-20,41.64
ACQ-0085,CUST-0958,CMP-2025-05,Google Remarketing,2025-11-30,31.77
ACQ-0086,CUST-1140,CMP-2025-01,Direct Traffic,2025-05-01,27.39
ACQ-0087,CUST-0366,CMP-2025-01,Email Newsletter,2025-07-25,26.77
ACQ-0088,CUST-0744,CMP-2025-03,Pinterest,2025-06-16,27.72
ACQ-0089,CUST-0364,CMP-2025-01,Google Search,2025-02-13,36.43
ACQ-0090,CUST-0841,CMP-2025-01,LinkedIn,2025-01-24,33.07
ACQ-0091,CUST-0187,CMP-2025-01,Email Newsletter,2025-01-12,31.47
ACQ-0092,CUST-0359,CMP-2025-02,Instagram Reels,2025-03-21,20.02
ACQ-0093,CUST-0909,CMP-2025-01,Organic Search,2025-04-01,37.39
ACQ-0094,CUST-0015,CMP-2025-01,Email Newsletter,2025-12-16,38.88
ACQ-0095,CUST-1094,CMP-2025-01,Organic Search,2025-08-13,25.38
ACQ-0096,CUST-0745,CMP-2025-05,Meta Retargeting,2025-12-18,20.94
ACQ-0097,CUST-0291,CMP-2025-01,Social Organic,2025-09-05,20.78
ACQ-0098,CUST-1007,CMP-2025-01,Social Organic,2025-05-14,34.7
ACQ-0099,CUST-1164,CMP-2025-01,LinkedIn,2025-01-18,25.28
ACQ-0100,CUST-0629,CMP-2025-01,Social Organic,2025-03-23,29.67
ACQ-0101,CUST-1197,CMP-2025-03,Pinterest,2025-06-30,38.95
ACQ-0102,CUST-0705,CMP-2025-05,SMS,2025-12-22,27.3
ACQ-0103,CUST-0992,CMP-2025-01,Organic Search,2025-01-08,26.55
ACQ-0104,CUST-0245,CMP-2025-03,Pinterest,2025-06-15,39.95
ACQ-0105,CUST-0675,CMP-2025-03,Pinterest,2025-06-19,31.14
ACQ-0106,CUST-0502,CMP-2025-02,Influencer,2025-04-14,38.65
ACQ-0107,CUST-0545,CMP-2025-01,Meta Ads,2025-01-22,39.79
ACQ-0108,CUST-0500,CMP-2025-05,Meta Retargeting,2025-12-20,31.12
ACQ-0109,CUST-0171,CMP-2025-01,Meta Ads,2025-02-13,32.56
ACQ-0110,CUST-0907,CMP-2025-01,Email Newsletter,2025-04-10,41.82
ACQ-0111,CUST-1009,CMP-2025-03,Pinterest,2025-06-16,25.17
ACQ-0112,CUST-0699,CMP-2025-05,SMS,2025-12-22,28.84
ACQ-0113,CUST-0367,CMP-2025-04,Meta Ads,2025-11-13,40.24
ACQ-0114,CUST-0397,CMP-2025-01,Social Organic,2025-04-29,30.29
ACQ-0115,CUST-0352,CMP-2025-01,Direct Traffic,2025-11-09,26.15
ACQ-0116,CUST-0854,CMP-2025-01,Social Organic,2025-05-18,29.59
ACQ-0117,CUST-0725,CMP-2025-01,Social Organic,2025-06-11,28.49
ACQ-0118,CUST-0828,CMP-2025-04,Meta Ads,2025-10-23,41.41
ACQ-0119,CUST-0765,CMP-2025-04,YouTube Video Ads,2025-10-25,31.66
ACQ-0120,CUST-0799,CMP-2025-04,YouTube Video Ads,2025-10-16,32.27
ACQ-0121,CUST-1102,CMP-2025-03,Instagram,2025-05-22,39.2
ACQ-0122,CUST-0309,CMP-2025-05,Meta Retargeting,2025-12-02,28.8
ACQ-0123,CUST-1141,CMP-2025-03,Instagram,2025-06-28,36.64
ACQ-0124,CUST-0740,CMP-2025-01,Direct Traffic,2025-08-17,22.83
ACQ-0125,CUST-0408,CMP-2025-03,Pinterest,2025-05-31,40.42
ACQ-0126,CUST-1033,CMP-2025-01,Email Newsletter,2025-06-17,25.14
ACQ-0127,CUST-1158,CMP-2025-05,Meta Retargeting,2025-11-27,37.27
ACQ-0128,CUST-0150,CMP-2025-01,Social Organic,2025-08-09,29.44
ACQ-0129,CUST-1179,CMP-2025-05,Meta Retargeting,2025-12-17,27.93
ACQ-0130,CUST-0018,CMP-2025-04,Meta Ads,2025-10-10,32.23
ACQ-0131,CUST-1182,CMP-2025-02,TikTok,2025-03-14,20.87
ACQ-0132,CUST-0142,CMP-2025-03,Instagram,2025-05-29,23.24
ACQ-0133,CUST-0728,CMP-2025-04,Google Shopping,2025-10-08,19.1
ACQ-0134,CUST-0407,CMP-2025-04,Meta Ads,2025-11-07,20.68
ACQ-0135,CUST-0334,CMP-2025-01,Social Organic,2025-03-03,36.12
ACQ-0136,CUST-0186,CMP-2025-01,Social Organic,2025-07-04,30.46
ACQ-0137,CUST-0727,CMP-2025-03,Pinterest,2025-05-19,25.57
ACQ-0138,CUST-0093,CMP-2025-02,TikTok,2025-03-12,21.51
ACQ-0139,CUST-0126,CMP-2025-02,Instagram Reels,2025-04-12,33.01
ACQ-0140,CUST-0658,CMP-2025-01,Google Search,2025-01-31,19.3
ACQ-0141,CUST-0324,CMP-2025-03,Email Marketing,2025-05-29,41.72
ACQ-0142,CUST-1100,CMP-2025-05,Google Remarketing,2025-11-20,29.53
ACQ-0143,CUST-1010,CMP-2025-01,Direct Traffic,2025-10-20,23.65
ACQ-0144,CUST-0169,CMP-2025-01,Organic Search,2025-07-26,24.37
ACQ-0145,CUST-0674,CMP-2025-01,Social Organic,2025-08-25,36.36
ACQ-0146,CUST-0298,CMP-2025-01,Meta Ads,2025-02-03,37.16
ACQ-0147,CUST-1172,CMP-2025-03,Pinterest,2025-05-27,28.03
ACQ-0148,CUST-0691,CMP-2025-01,Social Organic,2025-04-06,37.46
ACQ-0149,CUST-0198,CMP-2025-03,Instagram,2025-06-17,36.88
ACQ-0150,CUST-0194,CMP-2025-04,YouTube Video Ads,2025-10-08,35.25
ACQ-0151,CUST-1134,CMP-2025-01,Direct Traffic,2025-02-12,27.84
ACQ-0152,CUST-1088,CMP-2025-02,TikTok,2025-03-07,33.42
ACQ-0153,CUST-0415,CMP-2025-04,YouTube Video Ads,2025-10-19,41.34
ACQ-0154,CUST-0154,CMP-2025-05,SMS,2025-12-09,32.91
ACQ-0155,CUST-0802,CMP-2025-01,Email Newsletter,2025-11-27,32.4
ACQ-0156,CUST-0566,CMP-2025-04,YouTube Video Ads,2025-10-08,32.27
ACQ-0157,CUST-0023,CMP-2025-05,Meta Retargeting,2025-12-09,36.63
ACQ-0158,CUST-0256,CMP-2025-05,Meta Retargeting,2025-12-19,39.19
ACQ-0159,CUST-0782,CMP-2025-01,Email Newsletter,2025-05-11,28.51
ACQ-0160,CUST-0998,CMP-2025-01,Organic Search,2025-04-26,20.58
ACQ-0161,CUST-1013,CMP-2025-01,Organic Search,2025-08-10,33.49
ACQ-0162,CUST-1063,CMP-2025-01,Organic Search,2025-12-08,32.64
ACQ-0163,CUST-0712,CMP-2025-04,YouTube Video Ads,2025-10-30,19.38
ACQ-0164,CUST-0053,CMP-2025-02,Instagram Reels,2025-03-02,20.82
ACQ-0165,CUST-0567,CMP-2025-01,LinkedIn,2025-01-30,41.79
ACQ-0166,CUST-0467,CMP-2025-03,Pinterest,2025-05-21,20.63
ACQ-0167,CUST-1037,CMP-2025-01,Direct Traffic,2025-10-14,27.85
ACQ-0168,CUST-0829,CMP-2025-01,Social Organic,2025-03-16,31.02
ACQ-0169,CUST-0602,CMP-2025-01,Google Search,2025-01-30,37.91
ACQ-0170,CUST-0054,CMP-2025-02,TikTok,2025-03-16,28.85
ACQ-0171,CUST-0899,CMP-2025-05,Meta Retargeting,2025-12-02,38.43
ACQ-0172,CUST-0536,CMP-2025-01,Social Organic,2025-07-06,28.64
ACQ-0173,CUST-1040,CMP-2025-01,Organic Search,2025-10-02,37.47
ACQ-0174,CUST-1135,CMP-2025-01,Social Organic,2025-04-25,32.0
ACQ-0175,CUST-0894,CMP-2025-02,Instagram Reels,2025-03-02,31.64
ACQ-0176,CUST-0131,CMP-2025-01,Google Search,2025-01-27,40.76
ACQ-0177,CUST-0812,CMP-2025-04,YouTube Video Ads,2025-10-20,34.35
ACQ-0178,CUST-0296,CMP-2025-01,Social Organic,2025-12-15,38.77
ACQ-0179,CUST-1085,CMP-2025-02,Influencer,2025-03-13,36.68
ACQ-0180,CUST-1176,CMP-2025-01,Email Newsletter,2025-12-17,27.46
ACQ-0181,CUST-0168,CMP-2025-01,Meta Ads,2025-02-12,39.16
ACQ-0182,CUST-0143,CMP-2025-01,Email Newsletter,2025-04-07,22.77
ACQ-0183,CUST-0317,CMP-2025-05,Google Remarketing,2025-12-01,35.1
ACQ-0184,CUST-0080,CMP-2025-01,Social Organic,2025-03-03,40.47
ACQ-0185,CUST-1062,CMP-2025-01,LinkedIn,2025-02-10,22.15
ACQ-0186,CUST-0918,CMP-2025-01,Organic Search,2025-12-09,26.45
ACQ-0187,CUST-1006,CMP-2025-04,Meta Ads,2025-10-03,40.04
ACQ-0188,CUST-1119,CMP-2025-03,Email Marketing,2025-06-04,36.44
ACQ-0189,CUST-0773,CMP-2025-01,Google Search,2025-02-10,31.69
ACQ-0190,CUST-0113,CMP-2025-01,Google Search,2025-01-22,39.46
ACQ-0191,CUST-1095,CMP-2025-03,Email Marketing,2025-06-08,41.16
ACQ-0192,CUST-1042,CMP-2025-01,Google Search,2025-01-23,40.82
ACQ-0193,CUST-1170,CMP-2025-01,Google Search,2025-01-12,23.34
ACQ-0194,CUST-0363,CMP-2025-01,Email Newsletter,2025-04-27,19.55
ACQ-0195,CUST-0529,CMP-2025-01,Social Organic,2025-08-05,23.31
ACQ-0196,CUST-0848,CMP-2025-02,Influencer,2025-04-01,18.75
ACQ-0197,CUST-0235,CMP-2025-04,YouTube Video Ads,2025-10-05,26.19
ACQ-0198,CUST-0223,CMP-2025-01,Direct Traffic,2025-07-22,40.83
ACQ-0199,CUST-0378,CMP-2025-01,LinkedIn,2025-01-25,27.22
ACQ-0200,CUST-0431,CMP-2025-01,Organic Search,2025-01-23,40.79
ACQ-0201,CUST-0718,CMP-2025-01,Meta Ads,2025-02-04,40.75
ACQ-0202,CUST-0688,CMP-2025-04,Google Shopping,2025-10-02,20.13
ACQ-0203,CUST-0294,CMP-2025-03,Pinterest,2025-05-18,20.03
ACQ-0204,CUST-0659,CMP-2025-02,TikTok,2025-03-07,18.64
ACQ-0205,CUST-0460,CMP-2025-01,Organic Search,2025-01-19,18.97
ACQ-0206,CUST-0793,CMP-2025-02,Influencer,2025-04-13,24.38
ACQ-0207,CUST-0459,CMP-2025-02,TikTok,2025-03-25,27.15
ACQ-0208,CUST-0944,CMP-2025-01,Email Newsletter,2025-08-16,27.04
ACQ-0209,CUST-1086,CMP-2025-02,Influencer,2025-04-15,23.07
ACQ-0210,CUST-0768,CMP-2025-02,Instagram Reels,2025-03-26,21.05
ACQ-0211,CUST-1130,CMP-2025-01,Email Newsletter,2025-12-04,22.74
ACQ-0212,CUST-1163,CMP-2025-03,Instagram,2025-06-27,33.57
ACQ-0213,CUST-0960,CMP-2025-02,Influencer,2025-04-01,40.43
ACQ-0214,CUST-0199,CMP-2025-01,Organic Search,2025-02-13,40.12
ACQ-0215,CUST-0416,CMP-2025-01,Organic Search,2025-04-20,27.03
ACQ-0216,CUST-1151,CMP-2025-02,TikTok,2025-03-11,31.01
ACQ-0217,CUST-0576,CMP-2025-02,TikTok,2025-03-08,39.87
ACQ-0218,CUST-0969,CMP-2025-02,Influencer,2025-03-02,41.71
ACQ-0219,CUST-0917,CMP-2025-01,Social Organic,2025-09-09,39.31
ACQ-0220,CUST-0307,CMP-2025-02,Instagram Reels,2025-04-10,35.22
ACQ-0221,CUST-0539,CMP-2025-04,Google Shopping,2025-10-22,36.12
ACQ-0222,CUST-0022,CMP-2025-01,Email Newsletter,2025-01-10,23.19
ACQ-0223,CUST-0554,CMP-2025-03,Pinterest,2025-06-07,38.56
ACQ-0224,CUST-1132,CMP-2025-03,Email Marketing,2025-06-01,40.09
ACQ-0225,CUST-0048,CMP-2025-01,Organic Search,2025-02-24,22.66
ACQ-0226,CUST-0179,CMP-2025-01,Organic Search,2025-01-05,35.81
ACQ-0227,CUST-1194,CMP-2025-04,Google Shopping,2025-11-10,36.97
ACQ-0228,CUST-0382,CMP-2025-05,Meta Retargeting,2025-11-23,30.43
ACQ-0229,CUST-0254,CMP-2025-01,Direct Traffic,2025-02-08,38.44
ACQ-0230,CUST-0608,CMP-2025-05,Google Remarketing,2025-12-08,24.4
ACQ-0231,CUST-0577,CMP-2025-01,Organic Search,2025-02-03,30.11
ACQ-0232,CUST-0025,CMP-2025-01,Social Organic,2025-12-12,32.32
ACQ-0233,CUST-0654,CMP-2025-04,Google Shopping,2025-10-24,36.44
ACQ-0234,CUST-0088,CMP-2025-04,Google Shopping,2025-10-30,26.12
ACQ-0235,CUST-0819,CMP-2025-04,Meta Ads,2025-11-12,22.05
ACQ-0236,CUST-1019,CMP-2025-03,Instagram,2025-06-19,22.96
ACQ-0237,CUST-0999,CMP-2025-01,Organic Search,2025-01-31,20.07
ACQ-0238,CUST-0290,CMP-2025-04,Google Shopping,2025-10-14,18.8
ACQ-0239,CUST-0879,CMP-2025-05,Google Remarketing,2025-11-28,26.52
ACQ-0240,CUST-0669,CMP-2025-03,Email Marketing,2025-06-24,36.99
ACQ-0241,CUST-0261,CMP-2025-01,Direct Traffic,2025-11-20,35.14
ACQ-0242,CUST-0963,CMP-2025-01,Organic Search,2025-06-10,27.53
ACQ-0243,CUST-0506,CMP-2025-01,LinkedIn,2025-01-30,29.84
ACQ-0244,CUST-0644,CMP-2025-05,SMS,2025-12-02,22.92
ACQ-0245,CUST-0509,CMP-2025-01,Organic Search,2025-08-05,25.51
ACQ-0246,CUST-0864,CMP-2025-04,YouTube Video Ads,2025-10-10,27.48
ACQ-0247,CUST-0561,CMP-2025-02,Instagram Reels,2025-04-15,25.19
ACQ-0248,CUST-0108,CMP-2025-01,Social Organic,2025-10-10,21.83
ACQ-0249,CUST-0664,CMP-2025-03,Instagram,2025-06-23,33.63
ACQ-0250,CUST-0271,CMP-2025-01,Meta Ads,2025-01-18,30.79
ACQ-0251,CUST-0919,CMP-2025-03,Instagram,2025-05-29,33.65
ACQ-0252,CUST-0981,CMP-2025-02,TikTok,2025-03-15,30.26
ACQ-0253,CUST-1045,CMP-2025-01,Email Newsletter,2025-09-10,31.43
ACQ-0254,CUST-0471,CMP-2025-01,Meta Ads,2025-02-01,32.17
ACQ-0255,CUST-1099,CMP-2025-05,SMS,2025-12-08,27.3
ACQ-0256,CUST-0686,CMP-2025-03,Pinterest,2025-06-09,25.21
ACQ-0257,CUST-0420,CMP-2025-01,Meta Ads,2025-02-03,35.96
ACQ-0258,CUST-0622,CMP-2025-01,Google Search,2025-01-24,23.59
ACQ-0259,CUST-0684,CMP-2025-04,Google Shopping,2025-10-21,32.64
ACQ-0260,CUST-0764,CMP-2025-04,Google Shopping,2025-11-11,36.61
ACQ-0261,CUST-0247,CMP-2025-01,Organic Search,2025-12-16,39.19
ACQ-0262,CUST-1188,CMP-2025-03,Pinterest,2025-06-01,31.74
ACQ-0263,CUST-0815,CMP-2025-01,Google Search,2025-01-12,38.02
ACQ-0264,CUST-0130,CMP-2025-01,Social Organic,2025-05-24,35.39
ACQ-0265,CUST-0557,CMP-2025-01,Email Newsletter,2025-04-07,37.54
ACQ-0266,CUST-0097,CMP-2025-01,Google Search,2025-02-02,31.3
ACQ-0267,CUST-0657,CMP-2025-01,Direct Traffic,2025-06-27,32.13
ACQ-0268,CUST-0303,CMP-2025-01,Email Newsletter,2025-09-11,26.97
ACQ-0269,CUST-0282,CMP-2025-03,Email Marketing,2025-06-25,36.21
ACQ-0270,CUST-0700,CMP-2025-02,TikTok,2025-04-06,37.88
ACQ-0271,CUST-1065,CMP-2025-01,LinkedIn,2025-01-26,34.12
ACQ-0272,CUST-1002,CMP-2025-03,Email Marketing,2025-06-19,30.79
ACQ-0273,CUST-0463,CMP-2025-04,YouTube Video Ads,2025-10-10,39.54
ACQ-0274,CUST-1015,CMP-2025-01,Google Search,2025-01-29,25.62
ACQ-0275,CUST-0865,CMP-2025-01,Organic Search,2025-12-05,34.9
ACQ-0276,CUST-0623,CMP-2025-05,SMS,2025-12-20,32.44
ACQ-0277,CUST-0786,CMP-2025-01,Social Organic,2025-02-20,40.8
ACQ-0278,CUST-0178,CMP-2025-05,Meta Retargeting,2025-11-25,35.52
ACQ-0279,CUST-0071,CMP-2025-05,SMS,2025-12-18,28.15
ACQ-0280,CUST-1059,CMP-2025-04,Meta Ads,2025-10-19,19.44
ACQ-0281,CUST-0158,CMP-2025-04,Google Shopping,2025-10-16,36.73
ACQ-0282,CUST-1196,CMP-2025-01,Email Newsletter,2025-04-28,37.5
ACQ-0283,CUST-1153,CMP-2025-04,YouTube Video Ads,2025-10-24,28.6
ACQ-0284,CUST-0069,CMP-2025-05,Meta Retargeting,2025-12-17,20.55
ACQ-0285,CUST-0979,CMP-2025-02,TikTok,2025-04-07,31.65
ACQ-0286,CUST-0655,CMP-2025-01,Direct Traffic,2025-09-03,22.93
ACQ-0287,CUST-0354,CMP-2025-05,SMS,2025-11-24,21.48
ACQ-0288,CUST-1160,CMP-2025-04,Meta Ads,2025-11-10,37.96
ACQ-0289,CUST-0809,CMP-2025-03,Pinterest,2025-06-09,38.15
ACQ-0290,CUST-0323,CMP-2025-05,Meta Retargeting,2025-12-08,28.67
ACQ-0291,CUST-0082,CMP-2025-04,YouTube Video Ads,2025-10-18,37.46
ACQ-0292,CUST-0791,CMP-2025-01,Direct Traffic,2025-12-19,29.53
ACQ-0293,CUST-1092,CMP-2025-01,Google Search,2025-01-26,40.45
ACQ-0294,CUST-0491,CMP-2025-03,Email Marketing,2025-06-03,30.67
ACQ-0295,CUST-0286,CMP-2025-01,Direct Traffic,2025-12-19,34.65
ACQ-0296,CUST-0419,CMP-2025-01,Direct Traffic,2025-10-25,21.25
ACQ-0297,CUST-1101,CMP-2025-03,Email Marketing,2025-06-22,21.42
ACQ-0298,CUST-0137,CMP-2025-03,Pinterest,2025-06-15,32.21
ACQ-0299,CUST-0105,CMP-2025-01,Organic Search,2025-11-18,29.69
ACQ-0300,CUST-0252,CMP-2025-01,Meta Ads,2025-01-12,25.02
ACQ-0301,CUST-0867,CMP-2025-05,Meta Retargeting,2025-11-23,26.43
ACQ-0302,CUST-0473,CMP-2025-05,SMS,2025-12-07,26.81
ACQ-0303,CUST-0451,CMP-2025-04,YouTube Video Ads,2025-10-14,18.91
ACQ-0304,CUST-0996,CMP-2025-02,TikTok,2025-03-27,29.3
ACQ-0305,CUST-0220,CMP-2025-03,Pinterest,2025-06-11,38.47
ACQ-0306,CUST-0837,CMP-2025-01,Email Newsletter,2025-08-15,38.49
ACQ-0307,CUST-0421,CMP-2025-01,Google Search,2025-02-03,23.37
ACQ-0308,CUST-0797,CMP-2025-03,Email Marketing,2025-06-08,28.75
ACQ-0309,CUST-0714,CMP-2025-03,Instagram,2025-05-31,22.46
ACQ-0310,CUST-0470,CMP-2025-02,TikTok,2025-04-03,38.99
ACQ-0311,CUST-0591,CMP-2025-04,Meta Ads,2025-10-11,37.48
ACQ-0312,CUST-0552,CMP-2025-01,Organic Search,2025-04-02,36.81
ACQ-0313,CUST-0313,CMP-2025-02,TikTok,2025-03-16,26.15
ACQ-0314,CUST-1026,CMP-2025-01,Meta Ads,2025-02-04,19.64
ACQ-0315,CUST-0332,CMP-2025-01,Meta Ads,2025-01-14,18.51
ACQ-0316,CUST-1128,CMP-2025-04,YouTube Video Ads,2025-11-03,40.67
ACQ-0317,CUST-0515,CMP-2025-04,Google Shopping,2025-10-11,21.47
ACQ-0318,CUST-0612,CMP-2025-04,Google Shopping,2025-10-25,27.28
ACQ-0319,CUST-0892,CMP-2025-01,Direct Traffic,2025-03-17,33.75
ACQ-0320,CUST-0466,CMP-2025-01,Email Newsletter,2025-05-10,29.46
ACQ-0321,CUST-0852,CMP-2025-01,Organic Search,2025-05-06,25.44
ACQ-0322,CUST-0888,CMP-2025-03,Pinterest,2025-06-06,31.46
ACQ-0323,CUST-0051,CMP-2025-05,Google Remarketing,2025-12-13,27.98
ACQ-0324,CUST-0315,CMP-2025-01,Email Newsletter,2025-07-13,35.69
ACQ-0325,CUST-0403,CMP-2025-04,Meta Ads,2025-10-18,19.48
ACQ-0326,CUST-0856,CMP-2025-01,Social Organic,2025-03-19,41.78
ACQ-0327,CUST-0077,CMP-2025-04,Google Shopping,2025-10-05,40.01
ACQ-0328,CUST-0942,CMP-2025-01,Social Organic,2025-06-25,38.49
ACQ-0329,CUST-0673,CMP-2025-01,Email Newsletter,2025-06-03,19.71
ACQ-0330,CUST-0304,CMP-2025-02,TikTok,2025-03-16,40.26
ACQ-0331,CUST-0613,CMP-2025-02,Influencer,2025-04-09,20.06
ACQ-0332,CUST-0316,CMP-2025-01,Meta Ads,2025-01-31,25.74
ACQ-0333,CUST-0439,CMP-2025-02,Influencer,2025-03-19,37.41
