spend_id,campaign_id,date,channel,spend,cpc,cpm
SPD-00063,CMP-2025-01,2025-01-30,LinkedIn,196.81,1.55,16.74
SPD-00064,CMP-2025-01,2025-01-31,Meta Ads,275.33,0.88,15.28
SPD-00065,CMP-2025-01,2025-01-31,Google Search,379.13,2.39,10.03
SPD-00066,CMP-2025-01,2025-01-31,LinkedIn,330.97,2.0,13.72
SPD-00067,CMP-2025-01,2025-02-01,Meta Ads,258.93,2.16,12.08
SPD-00068,CMP-2025-01,2025-02-01,Google Search,305.71,1.54,16.06
SPD-00069,CMP-2025-01,2025-02-01,LinkedIn,350.87,1.17,10.1
SPD-00070,CMP-2025-01,2025-02-02,Meta Ads,297.45,0.87,10.39
SPD-00071,CMP-2025-01,2025-02-02,Google Search,279.01,1.05,15.38
SPD-00072,CMP-2025-01,2025-02-02,LinkedIn,353.33,1.64,15.0
SPD-00073,CMP-2025-01,2025-02-03,Meta Ads,280.48,2.31,10.07
SPD-00074,CMP-2025-01,2025-02-03,Google Search,320.82,1.02,10.22
SPD-00075,CMP-2025-01,2025-02-03,LinkedIn,321.67,1.1,15.69
SPD-00076,CMP-2025-01,2025-02-04,Meta Ads,327.71,1.6,13.66
SPD-00077,CMP-2025-01,2025-02-04,Google Search,231.99,1.74,14.66
SPD-00078,CMP-2025-01,2025-02-04,LinkedIn,289.97,1.99,14.93
SPD-00079,CMP-2025-01,2025-02-05,Meta Ads,238.72,2.44,10.92
SPD-00080,CMP-2025-01,2025-02-05,Google Search,238.53,0.85,8.66
SPD-00081,CMP-2025-01,2025-02-05,LinkedIn,335.94,2.28,8.64
SPD-00082,CMP-2025-01,2025-02-06,Meta Ads,375.98,1.72,8.93
SPD-00083,CMP-2025-01,2025-02-06,Google Search,388.62,1.93,11.63
SPD-00084,CMP-2025-01,2025-02-06,LinkedIn,270.57,2.48,14.56
SPD-00085,CMP-2025-01,2025-02-07,Meta Ads,315.19,1.18,8.62
SPD-00086,CMP-2025-01,2025-02-07,Google Search,263.66,1.3,14.88
SPD-00087,CMP-2025-01,2025-02-07,LinkedIn,311.85,0.88,14.55
SPD-00088,CMP-2025-01,2025-02-08,Meta Ads,401.54,1.82,17.45
SPD-00089,CMP-2025-01,2025-02-08,Google Search,323.96,1.38,9.42
SPD-00090,CMP-2025-01,2025-02-08,LinkedIn,353.43,1.5,14.62
SPD-00091,CMP-2025-01,2025-02-09,Meta Ads,402.78,0.92,14.96
SPD-00092,CMP-2025-01,2025-02-09,Google Search,272.89,1.61,17.35
SPD-00093,CMP-2025-01,2025-02-09,LinkedIn,338.72,2.14,13.46
SPD-00094,CMP-2025-01,2025-02-10,Meta Ads,302.24,1.24,12.66
SPD-00095,CMP-2025-01,2025-02-10,Google Search,281.02,1.7,9.83
SPD-00096,CMP-2025-01,2025-02-10,LinkedIn,430.34,1.48,10.46
SPD-00097,CMP-2025-01,2025-02-11,Meta Ads,263.13,2.22,11.58
SPD-00098,CMP-2025-01,2025-02-11,Google Search,251.46,1.55,16.18
SPD-00099,CMP-2025-01,2025-02-11,LinkedIn,410.07,2.15,16.38
SPD-00100,CMP-2025-01,2025-02-12,Meta Ads,324.63,2.05,16.27
SPD-00101,CMP-2025-01,2025-02-12,Google Search,241.42,1.74,16.97
SPD-00102,CMP-2025-01,2025-02-12,LinkedIn,248.67,1.93,10.28
SPD-00103,CMP-2025-01,2025-02-13,Meta Ads,305.9,1.79,10.18
SPD-00104,CMP-2025-01,2025-02-13,Google Search,402.28,1.71,10.48
SPD-00105,CMP-2025-01,2025-02-13,LinkedIn,371.19,1.64,12.63
SPD-00106,CMP-2025-01,2025-02-14,Meta Ads,350.18,2.35,10.45
SPD-00107,CMP-2025-01,2025-02-14,Google Search,292.77,1.45,17.72
SPD-00108,CMP-2025-01,2025-02-14,LinkedIn,242.03,1.65,12.16
SPD-00109,CMP-2025-01,2025-02-15,Meta Ads,393.51,0.95,12.65
SPD-00110,CMP-2025-01,2025-02-15,Google Search,414.1,1.77,11.41
SPD-00111,CMP-2025-01,2025-02-15,LinkedIn,260.96,1.12,13.86
SPD-00112,CMP-2025-02,2025-03-01,TikTok,348.16,2.45,10.4
SPD-00113,CMP-2025-02,2025-03-01,Instagram Reels,257.02,2.11,16.86
SPD-00114,CMP-2025-02,2025-03-01,Influencer,356.65,1.53,12.13
SPD-00115,CMP-2025-02,2025-03-02,TikTok,251.75,2.59,17.08
SPD-00116,CMP-2025-02,2025-03-02,Instagram Reels,258.23,1.09,17.54
SPD-00117,CMP-2025-02,2025-03-02,Influencer,401.63,2.52,15.9
SPD-00118,CMP-2025-02,2025-03-03,TikTok,276.16,1.56,12.24
SPD-00119,CMP-2025-02,2025-03-03,Instagram Reels,301.54,2.46,13.13
SPD-00120,CMP-2025-02,2025-03-03,Influencer,428.86,2.07,12.01
SPD-00121,CMP-2025-02,2025-03-04,TikTok,328.52,1.99,14.11
SPD-00122,CMP-2025-02,2025-03-04,Instagram Reels,315.95,0.97,9.63
SPD-00123,CMP-2025-02,2025-03-04,Influencer,451.85,1.49,15.4
SPD-00124,CMP-2025-02,2025-03-05,TikTok,348.34,1.7,15.21
SPD-00125,CMP-2025-02,2025-03-05,Instagram Reels,363.6,1.85,17.1
SPD-00126,CMP-2025-02,2025-03-05,Influencer,364.57,2.15,15.62
SPD-00127,CMP-2025-02,2025-03-06,TikTok,318.79,2.15,10.53
SPD-00128,CMP-2025-02,2025-03-06,Instagram Reels,379.21,1.1,8.56
SPD-00129,CMP-2025-02,2025-03-06,Influencer,355.74,0.97,13.27
SPD-00130,CMP-2025-02,2025-03-07,TikTok,276.17,1.68,9.8
SPD-00131,CMP-2025-02,2025-03-07,Instagram Reels,316.11,1.82,9.57
SPD-00132,CMP-2025-02,2025-03-07,Influencer,355.07,1.16,10.56
SPD-00133,CMP-2025-02,2025-03-08,TikTok,417.62,1.95,9.56
SPD-00134,CMP-2025-02,2025-03-08,Instagram Reels,298.17,1.02,9.33
SPD-00135,CMP-2025-02,2025-03-08,Influencer,359.45,0.85,9.12
SPD-00136,CMP-2025-02,2025-03-09,TikTok,319.66,0.88,16.16
SPD-00137,CMP-2025-02,2025-03-09,Instagram Reels,265.18,1.48,16.18
SPD-00138,CMP-2025-02,2025-03-09,Influencer,314.66,2.53,13.54
SPD-00139,CMP-2025-02,2025-03-10,TikTok,287.41,1.23,11.56
SPD-00140,CMP-2025-02,2025-03-10,Instagram Reels,289.63,1.9,12.37
SPD-00141,CMP-2025-02,2025-03-10,Influencer,342.92,2.37,17.96
SPD-00142,CMP-2025-02,2025-03-11,TikTok,287.58,1.76,9.69
SPD-00143,CMP-2025-02,2025-03-11,Instagram Reels,418.95,1.25,15.79
SPD-00144,CMP-2025-02,2025-03-11,Influencer,358.21,2.04,12.88
SPD-00145,CMP-2025-02,2025-03-12,TikTok,311.93,2.37,14.65
SPD-00146,CMP-2025-02,2025-03-12,Instagram Reels,398.9,2.02,15.64
SPD-00147,CMP-2025-02,2025-03-12,Influencer,296.63,1.67,10.77
SPD-00148,CMP-2025-02,2025-03-13,TikTok,388.3,0.98,15.29
SPD-00149,CMP-2025-02,2025-03-13,Instagram Reels,348.35,2.08,14.39
SPD-00150,CMP-2025-02,2025-03-13,Influencer,358.87,2.38,16.94
SPD-00151,CMP-2025-02,2025-03-14,TikTok,338.61,1.64,18.08
SPD-00152,CMP-2025-02,2025-03-14,Instagram Reels,327.32,1.67,17.76
SPD-00153,CMP-2025-02,2025-03-14,Influencer,181.63,1.24,13.74
SPD-00154,CMP-2025-02,2025-03-15,TikTok,433.72,1.49,11.67
SPD-00155,CMP-2025-02,2025-03-15,Instagram Reels,337.67,2.0,15.48
SPD-00156,CMP-2025-02,2025-03-15,Influencer,339.18,2.01,17.73
SPD-00157,CMP-2025-02,2025-03-16,TikTok,312.27,2.46,14.09
SPD-00158,CMP-2025-02,2025-03-16,Instagram Reels,289.92,2.44,11.83
SPD-00159,CMP-2025-02,2025-03-16,Influencer,450.97,2.11,15.71
SPD-00160,CMP-2025-02,2025-03-17,TikTok,271.87,1.41,9.58
SPD-00161,CMP-2025-02,2025-03-17,Instagram Reels,307.61,2.5,10.33
SPD-00162,CMP-2025-02,2025-03-17,Influencer,310.53,1.03,14.06
SPD-00163,CMP-2025-02,2025-03-18,TikTok,316.36,2.19,12.61
SPD-00164,CMP-2025-02,2025-03-18,Instagram Reels,370.59,1.03,17.56
SPD-00165,CMP-2025-02,2025-03-18,Influencer,306.58,1.86,14.94
SPD-00166,CMP-2025-02,2025-03-19,TikTok,313.35,1.07,15.1
SPD-00167,CMP-2025-02,2025-03-19,Instagram Reels,322.46,2.33,15.75
SPD-00168,CMP-2025-02,2025-03-19,Influencer,423.33,0.86,16.53
SPD-00169,CMP-2025-02,2025-03-20,TikTok,374.77,1.32,10.59
SPD-00170,CMP-2025-02,2025-03-20,Instagram Reels,422.54,2.26,9.07
SPD-00171,CMP-2025-02,2025-03-20,Influencer,270.98,2.09,9.98
SPD-00172,CMP-2025-02,2025-03-21,TikTok,415.26,1.34,15.56
SPD-00173,CMP-2025-02,2025-03-21,Instagram Reels,409.19,1.09,17.35
SPD-00174,CMP-2025-02,2025-03-21,Influencer,265.75,1.51,8.71
SPD-00175,CMP-2025-02,2025-03-22,TikTok,256.58,2.06,17.45
SPD-00176,CMP-2025-02,2025-03-22,Instagram Reels,286.44,1.38,9.44
SPD-00177,CMP-2025-02,2025-03-22,Influencer,300.11,2.36,16.18
SPD-00178,CMP-2025-02,2025-03-23,TikTok,327.61,1.18,17.2
SPD-00179,CMP-2025-02,2025-03-23,Instagram Reels,370.09,1.97,10.4
SPD-00180,CMP-2025-02,2025-03-23,Influencer,292.08,2.34,12.01
SPD-00181,CMP-2025-02,2025-03-24,TikTok,320.17,1.44,9.05
SPD-00182,CMP-2025-02,2025-03-24,Instagram Reels,365.3,1.01,17.67
SPD-00183,CMP-2025-02,2025-03-24,Influencer,422.01,1.41,13.5
SPD-00184,CMP-2025-02,2025-03-25,TikTok,263.05,1.11,14.28
SPD-00185,CMP-2025-02,2025-03-25,Instagram Reels,313.6,2.58,16.03
SPD-00186,CMP-2025-02,2025-03-25,Influencer,280.11,0.96,15.01
SPD-00187,CMP-2025-02,2025-03-26,TikTok,268.52,1.95,9.68
SPD-00188,CMP-2025-02,2025-03-26,Instagram Reels,368.97,1.86,10.68
SPD-00189,CMP-2025-02,2025-03-26,Influencer,313.97,1.66,18.08
SPD-00190,CMP-2025-02,2025-03-27,TikTok,340.92,1.39,9.71
SPD-00191,CMP-2025-02,2025-03-27,Instagram Reels,402.54,1.77,16.86
SPD-00192,CMP-2025-02,2025-03-27,Influencer,369.03,2.06,12.43
SPD-00193,CMP-2025-02,2025-03-28,TikTok,284.65,1.97,16.44
SPD-00194,CMP-2025-02,2025-03-28,Instagram Reels,308.7,1.99,10.51
SPD-00195,CMP-2025-02,2025-03-28,Influencer,247.49,2.35,9.64
SPD-00196,CMP-2025-02,2025-03-29,TikTok,294.85,1.26,9.35
SPD-00197,CMP-2025-02,2025-03-29,Instagram Reels,306.01,1.02,9.32
SPD-00198,CMP-2025-02,2025-03-29,Influencer,232.78,2.54,11.4
SPD-00199,CMP-2025-02,2025-03-30,TikTok,323.64,1.76,11.35
SPD-00200,CMP-2025-02,2025-03-30,Instagram Reels,238.43,1.36,13.26
SPD-00201,CMP-2025-02,2025-03-30,Influencer,273.61,2.59,17.33
SPD-00202,CMP-2025-02,2025-03-31,TikTok,238.52,1.19,16.8
SPD-00203,CMP-2025-02,2025-03-31,Instagram Reels,237.69,1.87,13.86
SPD-00204,CMP-2025-02,2025-03-31,Influencer,359.06,2.11,11.19
SPD-00205,CMP-2025-02,2025-04-01,TikTok,341.46,2.49,15.06
SPD-00206,CMP-2025-02,2025-04-01,Instagram Reels,248.52,1.93,10.48
SPD-00207,CMP-2025-02,2025-04-01,Influencer,279.7,1.94,11.11
SPD-00208,CMP-2025-02,2025-04-02,TikTok,365.19,2.22,11.57
SPD-00209,CMP-2025-02,2025-04-02,Instagram Reels,307.9,1.25,17.85
SPD-00210,CMP-2025-02,2025-04-02,Influencer,297.62,1.76,11.12
SPD-00211,CMP-2025-02,2025-04-03,TikTok,310.83,1.29,16.24
SPD-00212,CMP-2025-02,2025-04-03,Instagram Reels,303.83,1.2,18.0
SPD-00213,CMP-2025-02,2025-04-03,Influencer,471.5,2.21,17.73
SPD-00214,CMP-2025-02,2025-04-04,TikTok,330.86,1.31,14.05
SPD-00215,CMP-2025-02,2025-04-04,Instagram Reels,319.89,0.89,9.46
SPD-00216,CMP-2025-02,2025-04-04,Influencer,405.68,2.15,11.58
SPD-00217,CMP-2025-02,2025-04-05,TikTok,314.71,1.27,14.25
SPD-00218,CMP-2025-02,2025-04-05,Instagram Reels,351.91,1.98,15.42
SPD-00219,CMP-2025-02,2025-04-05,Influencer,315.77,1.82,9.88
SPD-00220,CMP-2025-02,2025-04-06,TikTok,337.89,1.59,12.94
SPD-00221,CMP-2025-02,2025-04-06,Instagram Reels,328.91,1.32,13.05
SPD-00222,CMP-2025-02,2025-04-06,Influencer,381.13,1.74,17.74
SPD-00223,CMP-2025-02,2025-04-07,TikTok,313.08,1.94,16.7
SPD-00224,CMP-2025-02,2025-04-07,Instagram Reels,234.67,0.97,10.83
SPD-00225,CMP-2025-02,2025-04-07,Influencer,299.76,0.95,14.08
SPD-00226,CMP-2025-02,2025-04-08,TikTok,429.12,1.7,9.82
SPD-00227,CMP-2025-02,2025-04-08,Instagram Reels,392.93,1.76,15.06
SPD-00228,CMP-2025-02,2025-04-08,Influencer,275.47,0.83,9.71
SPD-00229,CMP-2025-02,2025-04-09,TikTok,390.19,2.46,14.91
SPD-00230,CMP-2025-02,2025-04-09,Instagram Reels,390.83,2.03,17.67
SPD-00231,CMP-2025-02,2025-04-09,Influencer,196.33,1.61,8.91
SPD-00232,CMP-2025-02,2025-04-10,TikTok,248.32,0.89,11.93
SPD-00233,CMP-2025-02,2025-04-10,Instagram Reels,290.48,2.55,10.15
SPD-00234,CMP-2025-02,2025-04-10,Influencer,334.22,2.02,11.78
SPD-00235,CMP-2025-02,2025-04-11,TikTok,256.95,1.51,14.62
SPD-00236,CMP-2025-02,2025-04-11,Instagram Reels,375.12,2.53,17.51
SPD-00237,CMP-2025-02,2025-04-11,Influencer,330.42,2.41,13.5
SPD-00238,CMP-2025-02,2025-04-12,TikTok,252.51,1.43,9.54
SPD-00239,CMP-2025-02,2025-04-12,Instagram Reels,299.1,0.82,12.4
SPD-00240,CMP-2025-02,2025-04-12,Influencer,272.38,1.16,12.68
SPD-00241,CMP-2025-02,2025-04-13,TikTok,247.3,1.47,13.07
SPD-00242,CMP-2025-02,2025-04-13,Instagram Reels,259.87,1.77,17.15
SPD-00243,CMP-2025-02,2025-04-13,Influencer,317.12,2.58,11.11
SPD-00244,CMP-2025-02,2025-04-14,TikTok,297.64,1.31,9.57
SPD-00245,CMP-2025-02,2025-04-14,Instagram Reels,234.41,1.4,12.58
SPD-00246,CMP-2025-02,2025-04-14,Influencer,291.92,2.0,8.81
SPD-00247,CMP-2025-02,2025-04-15,TikTok,344.77,2.15,9.74
SPD-00248,CMP-2025-02,2025-04-15,Instagram Reels,357.45,2.11,12.38
SPD-00249,CMP-2025-02,2025-04-15,Influencer,262.0,2.29,15.7
SPD-00250,CMP-2025-03,2025-05-15,Instagram,178.58,2.29,9.0
SPD-00251,CMP-2025-03,2025-05-15,Email Marketing,161.63,0.81,14.29
SPD-00252,CMP-2025-03,2025-05-15,Pinterest,158.72,1.31,13.16
SPD-00253,CMP-2025-03,2025-05-16,Instagram,133.73,2.06,11.06
SPD-00254,CMP-2025-03,2025-05-16,Email Marketing,168.59,1.65,12.66
SPD-00255,CMP-2025-03,2025-05-16,Pinterest,171.91,0.99,16.09
SPD-00256,CMP-2025-03,2025-05-17,Instagram,153.71,1.29,12.39
SPD-00257,CMP-2025-03,2025-05-17,Email Marketing,158.9,0.83,9.92
SPD-00258,CMP-2025-03,2025-05-17,Pinterest,231.04,2.36,10.44
SPD-00259,CMP-2025-03,2025-05-18,Instagram,131.85,0.89,12.64
SPD-00260,CMP-2025-03,2025-05-18,Email Marketing,134.96,2.5,12.03
SPD-00261,CMP-2025-03,2025-05-18,Pinterest,212.91,1.24,15.4
SPD-00262,CMP-2025-03,2025-05-19,Instagram,150.61,1.58,14.38
SPD-00263,CMP-2025-03,2025-05-19,Email Marketing,148.77,1.4,13.27
SPD-00264,CMP-2025-03,2025-05-19,Pinterest,196.02,2.0,9.58
SPD-00265,CMP-2025-03,2025-05-20,Instagram,197.48,1.23,14.37
SPD-00266,CMP-2025-03,2025-05-20,Email Marketing,173.61,0.96,14.17
SPD-00267,CMP-2025-03,2025-05-20,Pinterest,201.0,1.93,9.53
SPD-00268,CMP-2025-03,2025-05-21,Instagram,186.94,2.5,9.46
SPD-00269,CMP-2025-03,2025-05-21,Email Marketing,200.18,1.65,11.42
SPD-00270,CMP-2025-03,2025-05-21,Pinterest,186.12,1.76,15.88
SPD-00271,CMP-2025-03,2025-05-22,Instagram,221.95,1.43,13.94
SPD-00272,CMP-2025-03,2025-05-22,Email Marketing,184.51,1.01,14.61
SPD-00273,CMP-2025-03,2025-05-22,Pinterest,178.43,1.67,12.73
SPD-00274,CMP-2025-03,2025-05-23,Instagram,148.96,0.91,17.77
SPD-00275,CMP-2025-03,2025-05-23,Email Marketing,193.39,2.27,10.34
SPD-00276,CMP-2025-03,2025-05-23,Pinterest,145.59,1.76,13.3
SPD-00277,CMP-2025-03,2025-05-24,Instagram,185.36,0.81,10.51
SPD-00278,CMP-2025-03,2025-05-24,Email Marketing,182.85,0.82,14.24
SPD-00279,CMP-2025-03,2025-05-24,Pinterest,165.01,1.72,17.51
SPD-00280,CMP-2025-03,2025-05-25,Instagram,138.85,1.76,10.67
SPD-00281,CMP-2025-03,2025-05-25,Email Marketing,150.17,2.5,14.7
SPD-00282,CMP-2025-03,2025-05-25,Pinterest,202.41,1.04,11.19
SPD-00283,CMP-2025-03,2025-05-26,Instagram,168.76,2.55,14.64
SPD-00284,CMP-2025-03,2025-05-26,Email Marketing,148.11,2.39,17.68
SPD-00285,CMP-2025-03,2025-05-26,Pinterest,160.99,1.04,11.06
SPD-00286,CMP-2025-03,2025-05-27,Instagram,162.57,1.26,11.21
SPD-00287,CMP-2025-03,2025-05-27,Email Marketing,120.01,2.36,14.88
SPD-00288,CMP-2025-03,2025-05-27,Pinterest,163.95,1.85,17.61
SPD-00289,CMP-2025-03,2025-05-28,Instagram,159.79,1.38,12.79
SPD-00290,CMP-2025-03,2025-05-28,Email Marketing,159.63,2.34,14.61
SPD-00291,CMP-2025-03,2025-05-28,Pinterest,223.8,1.6,12.34
SPD-00292,CMP-2025-03,2025-05-29,Instagram,196.25,1.83,10.21
SPD-00293,CMP-2025-03,2025-05-29,Email Marketing,205.16,1.31,10.25
SPD-00294,CMP-2025-03,2025-05-29,Pinterest,121.36,2.39,11.51
SPD-00295,CMP-2025-03,2025-05-30,Instagram,180.52,2.1,12.4
SPD-00296,CMP-2025-03,2025-05-30,Email Marketing,145.86,0.82,15.78
SPD-00297,CMP-2025-03,2025-05-30,Pinterest,185.47,1.49,9.47
SPD-00298,CMP-2025-03,2025-05-31,Instagram,140.79,1.88,17.6
SPD-00299,CMP-2025-03,2025-05-31,Email Marketing,173.37,2.22,8.59
SPD-00300,CMP-2025-03,2025-05-31,Pinterest,151.49,2.27,13.76
SPD-00301,CMP-2025-03,2025-06-01,Instagram,179.98,1.24,13.15
SPD-00302,CMP-2025-03,2025-06-01,Email Marketing,198.4,1.78,11.09
SPD-00303,CMP-2025-03,2025-06-01,Pinterest,206.64,0.88,8.71
SPD-00304,CMP-2025-03,2025-06-02,Instagram,132.14,1.44,12.24
SPD-00305,CMP-2025-03,2025-06-02,Email Marketing,135.71,2.03,17.44
SPD-00306,CMP-2025-03,2025-06-02,Pinterest,177.23,2.09,15.16
SPD-00307,CMP-2025-03,2025-06-03,Instagram,164.74,1.45,11.74
SPD-00308,CMP-2025-03,2025-06-03,Email Marketing,232.06,0.88,9.32
SPD-00309,CMP-2025-03,2025-06-03,Pinterest,198.28,1.57,9.97
SPD-00310,CMP-2025-03,2025-06-04,Instagram,168.56,1.29,16.99
SPD-00311,CMP-2025-03,2025-06-04,Email Marketing,184.21,1.28,12.08
SPD-00312,CMP-2025-03,2025-06-04,Pinterest,200.02,2.24,17.3
SPD-00313,CMP-2025-03,2025-06-05,Instagram,152.64,2.56,16.23
SPD-00314,CMP-2025-03,2025-06-05,Email Marketing,175.6,1.57,9.6
SPD-00315,CMP-2025-03,2025-06-05,Pinterest,139.67,1.06,15.55
SPD-00316,CMP-2025-03,2025-06-06,Instagram,207.1,1.95,14.34
SPD-00317,CMP-2025-03,2025-06-06,Email Marketing,148.96,2.46,17.66
SPD-00318,CMP-2025-03,2025-06-06,Pinterest,166.43,1.79,12.22
SPD-00319,CMP-2025-03,2025-06-07,Instagram,154.32,2.26,16.03
SPD-00320,CMP-2025-03,2025-06-07,Email Marketing,135.53,1.45,9.35
SPD-00321,CMP-2025-03,2025-06-07,Pinterest,168.17,2.33,10.47
SPD-00322,CMP-2025-03,2025-06-08,Instagram,223.39,1.05,16.05
SPD-00323,CMP-2025-03,2025-06-08,Email Marketing,192.89,1.79,16.6
SPD-00324,CMP-2025-03,2025-06-08,Pinterest,171.72,1.56,17.53
SPD-00325,CMP-2025-03,2025-06-09,Instagram,201.94,1.56,15.25
SPD-00326,CMP-2025-03,2025-06-09,Email Marketing,151.77,1.85,9.53
SPD-00327,CMP-2025-03,2025-06-09,Pinterest,200.44,1.87,13.13
SPD-00328,CMP-2025-03,2025-06-10,Instagram,143.97,1.65,15.92
SPD-00329,CMP-2025-03,2025-06-10,Email Marketing,127.51,2.51,13.62
SPD-00330,CMP-2025-03,2025-06-10,Pinterest,175.37,2.1,13.06
SPD-00331,CMP-2025-03,2025-06-11,Instagram,157.75,1.09,10.18
SPD-00332,CMP-2025-03,2025-06-11,Email Marketing,145.16,2.51,12.61
SPD-00333,CMP-2025-03,2025-06-11,Pinterest,151.41,2.08,12.91
SPD-00334,CMP-2025-03,2025-06-12,Instagram,164.89,2.51,12.16
SPD-00335,CMP-2025-03,2025-06-12,Email Marketing,216.21,0.9,12.38
SPD-00336,CMP-2025-03,2025-06-12,Pinterest,210.05,2.28,12.31
SPD-00337,CMP-2025-03,2025-06-13,Instagram,166.71,0.9,12.19
SPD-00338,CMP-2025-03,2025-06-13,Email Marketing,164.38,1.29,12.61
SPD-00339,CMP-2025-03,2025-06-13,Pinterest,188.77,1.45,9.51
