date,total_revenue,total_orders,new_customers,returning_customers,total_marketing_spend,total_impressions,total_website_visits,total_product_views,total_add_to_carts,overall_roas,aov
2025-03-02,3560.12,20,7,13,911.61,65790,2848,1885,354,3.91,178.01
2025-03-03,2719.94,11,4,7,1006.56,99253,3532,2316,497,2.7,247.27
2025-03-04,3286.44,14,3,11,1096.32,81026,3344,1996,461,3.0,234.75
2025-03-05,1844.55,6,3,3,1076.51,73624,2797,1911,294,1.71,307.43
2025-03-06,3257.23,14,3,11,1053.74,75979,3169,2082,356,3.09,232.66
2025-03-07,1511.81,6,3,3,947.35,68900,2557,1750,376,1.6,251.97
2025-03-08,3099.63,9,5,4,1075.24,96227,3785,2369,559,2.88,344.4
2025-03-09,1913.48,7,3,4,899.5,79396,3250,1820,443,2.13,273.35
2025-03-10,1444.51,9,5,4,919.96,65564,2885,1986,449,1.57,160.5
2025-03-11,4244.58,15,6,9,1064.74,74201,2872,1717,360,3.99,282.97
2025-03-12,2529.86,9,1,8,1007.46,73558,2771,1694,321,2.51,281.1
2025-03-13,3981.27,13,3,10,1095.52,78676,2852,1619,298,3.63,306.25
2025-03-14,1581.91,6,4,2,847.56,78100,3238,1942,542,1.87,263.65
2025-03-15,2372.16,12,6,6,1110.57,83329,3435,2257,470,2.14,197.68
2025-03-16,5061.21,16,6,10,1053.16,79366,3306,1873,316,4.81,316.33
2025-03-17,1168.18,7,2,5,890.01,76944,2929,1966,472,1.31,166.88
2025-03-18,1583.38,8,3,5,993.53,94326,3599,2428,538,1.59,197.92
2025-03-19,1032.33,8,3,5,1059.14,91299,3294,2227,503,0.97,129.04
2025-03-20,1882.0,12,2,10,1068.29,75018,2760,1586,339,1.76,156.83
2025-03-21,2431.39,14,3,11,1090.2,90008,3467,2231,580,2.23,173.67
2025-03-22,3220.77,12,4,8,843.13,82091,3186,1927,451,3.82,268.4
2025-03-23,3405.68,11,6,5,989.78,94177,3445,2193,521,3.44,309.61
2025-03-24,992.93,6,2,4,1107.48,91007,3244,2088,422,0.9,165.49
2025-03-25,2497.11,13,3,10,856.76,69551,2851,1794,292,2.91,192.09
2025-03-26,2404.31,12,6,6,951.46,70642,2916,1755,491,2.53,200.36
2025-03-27,3171.59,13,5,8,1112.49,92947,3672,2203,435,2.85,243.97
2025-03-28,5631.93,13,7,6,840.84,62395,2534,1664,262,6.7,433.23
2025-03-29,2758.71,10,3,7,833.64,76776,3162,1871,391,3.31,275.87
2025-03-30,1092.25,7,3,4,835.68,64130,2565,1488,325,1.31,156.04
2025-03-31,1385.76,8,2,6,835.27,68973,2695,1710,472,1.66,173.22
2025-04-01,3203.89,14,6,8,869.68,65746,2414,1506,250,3.68,228.85
2025-04-02,1514.26,7,2,5,970.71,72333,2998,1928,353,1.56,216.32
2025-04-03,1478.13,8,4,4,1086.16,102298,3853,2529,657,1.36,184.77
2025-04-04,2787.42,10,7,3,1056.43,96890,3538,2343,352,2.64,278.74
2025-04-05,2054.7,8,3,5,982.39,86654,3102,2053,380,2.09,256.84
2025-04-06,3358.64,12,6,6,1047.93,77097,3168,1953,397,3.21,279.89
2025-04-07,3224.97,13,6,7,847.51,74152,2748,1609,421,3.81,248.07
2025-04-08,3237.72,11,6,5,1097.52,100221,3569,1990,407,2.95,294.34
2025-04-09,1418.88,5,4,1,977.35,90139,3680,2452,509,1.45,283.78
2025-04-10,3971.34,13,7,6,873.02,61659,2583,1609,363,4.55,305.49
2025-04-11,2165.04,7,2,5,962.49,65577,2666,1762,304,2.25,309.29
2025-04-12,2414.19,12,6,6,823.99,65160,2672,1671,445,2.93,201.18
2025-04-13,1389.46,9,5,4,824.29,62063,2669,1785,303,1.69,154.38
2025-04-14,5149.92,14,7,7,823.97,55893,2561,1487,274,6.25,367.85
2025-04-15,2503.29,13,4,9,964.22,90476,3496,2295,516,2.6,192.56
2025-04-16,162.24,2,0,2,0.0,0,679,434,115,0.0,81.12
2025-04-17,1432.08,1,0,1,0.0,0,491,278,72,0.0,1432.08
2025-04-18,195.72,2,0,2,0.0,0,770,492,117,0.0,97.86
2025-04-19,160.92,1,0,1,0.0,0,715,437,101,0.0,160.92
2025-04-20,1486.08,3,3,0,0.0,0,749,448,83,0.0,495.36
2025-04-21,937.68,4,1,3,0.0,0,675,466,100,0.0,234.42
2025-04-22,1918.2,4,1,3,0.0,0,727,450,100,0.0,479.55
2025-04-23,353.16,2,1,1,0.0,0,800,552,152,0.0,176.58
2025-04-24,583.32,4,3,1,0.0,0,424,293,62,0.0,145.83
2025-04-25,246.36,2,2,0,0.0,0,334,229,59,0.0,123.18
2025-04-26,934.2,3,1,2,0.0,0,465,268,60,0.0,311.4
2025-04-27,398.88,4,2,2,0.0,0,656,374,87,0.0,99.72
2025-04-28,900.72,2,2,0,0.0,0,602,336,69,0.0,450.36
2025-04-29,2139.6,6,4,2,0.0,0,712,444,73,0.0,356.6
2025-04-30,0,0,0,0,0.0,0,465,269,54,0.0,0.0
2025-05-01,749.52,2,2,0,0.0,0,693,447,94,0.0,374.76
2025-05-02,1031.52,3,1,2,0.0,0,775,452,68,0.0,343.84
2025-05-03,97.32,1,1,0,0.0,0,331,229,39,0.0,97.32
2025-05-04,234.36,1,1,0,0.0,0,493,341,53,0.0,234.36
2025-05-05,246.24,1,0,1,0.0,0,450,255,68,0.0,246.24
2025-05-06,654.6,3,1,2,0.0,0,509,332,86,0.0,218.2
2025-05-07,0,0,0,0,0.0,0,538,324,68,0.0,0.0
2025-05-08,684.72,1,1,0,0.0,0,300,184,51,0.0,684.72
2025-05-09,991.56,3,1,2,0.0,0,751,463,129,0.0,330.52
2025-05-10,795.12,4,2,2,0.0,0,676,441,72,0.0,198.78
2025-05-11,152.52,2,1,1,0.0,0,520,302,82,0.0,76.26
2025-05-12,535.92,4,2,2,0.0,0,304,185,46,0.0,133.98
2025-05-13,2061.72,3,1,2,0.0,0,451,260,62,0.0,687.24
2025-05-14,75.72,1,1,0,0.0,0,380,241,55,0.0,75.72
2025-05-15,1579.01,10,4,6,498.93,47913,1845,1205,213,3.16,157.9
2025-05-16,1944.32,12,1,11,474.23,34736,1691,1089,232,4.1,162.03
2025-05-17,2090.79,13,9,4,543.65,45678,2129,1300,262,3.85,160.83
2025-05-18,2960.04,14,8,6,479.72,33140,1837,1248,324,6.17,211.43
2025-05-19,3725.66,12,6,6,495.4,36929,1705,946,232,7.52,310.47
2025-05-20,987.9,8,3,5,572.09,43975,1866,1095,174,1.73,123.49
2025-05-21,2198.08,12,1,11,573.24,53233,2330,1625,292,3.83,183.17
2025-05-22,1968.13,12,3,9,584.89,46350,1817,1086,206,3.36,164.01
2025-05-23,845.97,6,2,4,487.94,38825,1757,1038,220,1.73,141.0
2025-05-24,889.69,7,7,0,533.22,42592,1833,1123,289,1.67,127.1
2025-05-25,2215.27,8,3,5,491.43,34205,1590,1066,296,4.51,276.91
2025-05-26,1847.77,11,3,8,477.86,32974,1617,927,217,3.87,167.98
2025-05-27,3274.46,11,6,5,446.53,32801,1698,985,227,7.33,297.68
2025-05-28,2125.04,9,0,9,543.22,39799,1773,1159,190,3.91,236.12
2025-05-29,3828.24,13,6,7,522.77,37108,1850,1238,242,7.32,294.48
2025-05-30,2207.5,10,7,3,511.85,48515,2191,1472,295,4.31,220.75
2025-05-31,1843.41,10,6,4,465.65,32646,1377,806,123,3.96,184.34
2025-06-01,3154.42,13,6,7,585.02,45980,2090,1422,300,5.39,242.65
2025-06-02,819.86,7,1,6,445.08,30678,1328,902,153,1.84,117.12
2025-06-03,4671.67,16,8,8,595.08,50973,2325,1513,387,7.85,291.98
2025-06-04,2383.02,9,3,6,552.79,39642,1932,1187,245,4.31,264.78
2025-06-05,3255.53,14,4,10,467.91,40284,1796,1249,233,6.96,232.54
2025-06-06,3816.97,17,4,13,522.49,41161,1619,969,238,7.31,224.53
2025-06-07,2139.16,6,2,4,458.02,38775,1631,964,223,4.67,356.53
2025-06-08,2384.67,14,7,7,588.0,53194,2335,1324,347,4.06,170.33
2025-06-09,3413.17,12,5,7,554.15,51353,2443,1550,277,6.16,284.43
2025-06-10,2444.15,12,4,8,446.85,36567,1584,1037,282,5.47,203.68
2025-06-11,1873.62,13,9,4,454.32,40239,1843,1219,327,4.12,144.12
2025-06-12,1535.6,12,2,10,591.15,39727,1809,1144,173,2.6,127.97
2025-06-13,2766.78,10,2,8,519.86,37416,1780,1216,220,5.32,276.68
2025-06-14,375.91,3,2,1,461.61,45148,2239,1405,384,0.81,125.3
2025-06-15,1529.04,8,4,4,459.53,34361,1630,951,156,3.33,191.13
2025-06-16,4330.09,14,4,10,523.75,39890,1769,1178,244,8.27,309.29
2025-06-17,3481.86,10,5,5,551.9,51792,2242,1487,399,6.31,348.19
2025-06-18,1974.02,12,2,10,451.18,44783,2019,1227,240,4.38,164.5
2025-06-19,1879.4,9,4,5,570.1,42063,2072,1255,254,3.3,208.82
2025-06-20,1353.79,8,4,4,564.72,42134,1809,1027,212,2.4,169.22
2025-06-21,1685.1,10,3,7,494.14,36606,1847,1112,219,3.41,168.51
2025-06-22,3407.99,12,4,8,503.91,47783,2083,1148,316,6.76,284.0
2025-06-23,2459.11,13,5,8,507.22,39858,1655,1064,211,4.85,189.16
2025-06-24,1969.07,6,4,2,534.11,38723,1826,1113,238,3.69,328.18
2025-06-25,2466.54,9,4,5,467.15,32273,1740,1026,166,5.28,274.06
2025-06-26,541.24,6,1,5,476.08,37180,1884,1090,295,1.14,90.21
2025-06-27,1130.45,10,2,8,535.73,42867,1971,1256,327,2.11,113.05
2025-06-28,2849.19,11,6,5,486.16,44445,2079,1313,271,5.86,259.02
2025-06-29,1117.48,9,1,8,478.83,45071,1830,1262,241,2.33,124.16
2025-06-30,2129.04,7,2,5,500.12,41062,1816,1161,306,4.26,304.15
2025-07-01,1000.2,3,1,2,0.0,0,426,254,38,0.0,333.4
2025-07-02,205.44,2,1,1,0.0,0,496,321,62,0.0,102.72
2025-07-03,235.56,2,0,2,0.0,0,477,266,42,0.0,117.78
2025-07-04,1097.52,3,1,2,0.0,0,709,470,106,0.0,365.84
2025-07-05,1763.64,2,0,2,0.0,0,686,423,115,0.0,881.82
2025-07-06,1399.92,5,4,1,0.0,0,338,229,40,0.0,279.98
2025-07-07,471.0,3,1,2,0.0,0,749,470,106,0.0,157.0
2025-07-08,703.08,3,1,2,0.0,0,411,230,63,0.0,234.36
2025-07-09,851.16,2,0,2,0.0,0,532,356,65,0.0,425.58
2025-07-10,289.56,2,0,2,0.0,0,744,437,114,0.0,144.78
2025-07-11,744.24,2,1,1,0.0,0,571,369,87,0.0,372.12
2025-07-12,64.92,1,1,0,0.0,0,619,432,88,0.0,64.92
2025-07-13,247.44,2,1,1,0.0,0,381,215,58,0.0,123.72
2025-07-14,646.92,1,0,1,0.0,0,513,340,68,0.0,646.92
2025-07-15,1187.28,8,2,6,0.0,0,649,393,75,0.0,148.41
2025-07-16,0,0,0,0,0.0,0,780,510,137,0.0,0.0
2025-07-17,385.68,2,0,2,0.0,0,694,416,70,0.0,192.84
2025-07-18,919.44,6,1,5,0.0,0,372,211,50,0.0,153.24
2025-07-19,49.8,1,0,1,0.0,0,433,296,74,0.0,49.8
2025-07-20,441.84,2,2,0,0.0,0,320,211,45,0.0,220.92
2025-07-21,237.96,3,1,2,0.0,0,301,170,37,0.0,79.32
2025-07-22,1278.96,6,2,4,0.0,0,355,204,49,0.0,213.16
2025-07-23,635.16,3,0,3,0.0,0,337,216,47,0.0,211.72
2025-07-24,807.84,1,0,1,0.0,0,322,214,47,0.0,807.84
2025-07-25,97.32,1,1,0,0.0,0,750,521,95,0.0,97.32
2025-07-26,311.28,3,2,1,0.0,0,529,351,95,0.0,103.76
2025-07-27,160.92,1,0,1,0.0,0,583,378,101,0.0,160.92
2025-07-28,146.04,2,1,1,0.0,0,631,415,101,0.0,73.02
2025-07-29,349.08,3,1,2,0.0,0,361,242,64,0.0,116.36
2025-07-30,43.32,1,1,0,0.0,0,563,318,78,0.0,43.32
2025-07-31,189.12,2,0,2,0.0,0,607,356,87,0.0,94.56
2025-08-01,86.52,1,0,1,0.0,0,566,383,73,0.0,86.52
2025-08-02,646.92,1,0,1,0.0,0,577,387,88,0.0,646.92
2025-08-03,97.32,1,0,1,0.0,0,306,183,43,0.0,97.32
2025-08-04,633.96,1,0,1,0.0,0,560,311,51,0.0,633.96
2025-08-05,1246.56,5,4,1,0.0,0,308,178,33,0.0,249.31
2025-08-06,716.04,1,0,1,0.0,0,729,403,112,0.0,716.04
2025-08-07,320.88,2,0,2,0.0,0,583,394,64,0.0,160.44
2025-08-08,2146.2,4,1,3,0.0,0,669,457,88,0.0,536.55
2025-08-09,213.84,1,1,0,0.0,0,785,515,100,0.0,213.84
2025-08-10,441.72,2,2,0,0.0,0,628,394,101,0.0,220.86
2025-08-11,224.64,1,1,0,0.0,0,521,349,79,0.0,224.64
2025-08-12,372.6,2,1,1,0.0,0,319,205,56,0.0,186.3
2025-08-13,1514.28,5,1,4,0.0,0,698,408,64,0.0,302.86
2025-08-14,374.76,1,0,1,0.0,0,510,334,74,0.0,374.76
2025-08-15,1177.44,5,2,3,0.0,0,514,284,47,0.0,235.49
2025-08-16,372.96,4,1,3,0.0,0,625,350,94,0.0,93.24
2025-08-17,1279.92,3,1,2,0.0,0,750,445,91,0.0,426.64
2025-08-18,394.32,3,1,2,0.0,0,529,356,89,0.0,131.44
2025-08-19,0,0,0,0,0.0,0,373,233,39,0.0,0.0
2025-08-20,1184.88,3,1,2,0.0,0,650,428,83,0.0,394.96
2025-08-21,0,0,0,0,0.0,0,568,386,77,0.0,0.0
2025-08-22,439.56,1,0,1,0.0,0,381,212,54,0.0,439.56
2025-08-23,376.92,1,0,1,0.0,0,436,280,71,0.0,376.92
2025-08-24,213.84,1,1,0,0.0,0,701,473,106,0.0,213.84
2025-08-25,731.4,4,3,1,0.0,0,653,430,97,0.0,182.85
2025-08-26,0,0,0,0,0.0,0,733,422,63,0.0,0.0
2025-08-27,646.92,1,0,1,0.0,0,596,341,61,0.0,646.92
2025-08-28,385.8,3,0,3,0.0,0,340,223,40,0.0,128.6
2025-08-29,1872.96,6,2,4,0.0,0,521,315,86,0.0,312.16
2025-08-30,269.04,2,2,0,0.0,0,481,300,80,0.0,134.52
2025-08-31,920.52,5,2,3,0.0,0,361,239,47,0.0,184.1
2025-09-01,117.84,1,0,1,0.0,0,551,373,100,0.0,117.84
2025-09-02,473.04,1,0,1,0.0,0,623,351,53,0.0,473.04
2025-09-03,75.72,1,1,0,0.0,0,594,382,99,0.0,75.72
2025-09-04,1054.2,3,0,3,0.0,0,455,266,57,0.0,351.4
2025-09-05,376.92,1,1,0,0.0,0,645,427,80,0.0,376.92
2025-09-06,1072.44,3,1,2,0.0,0,351,214,41,0.0,357.48
2025-09-07,0,0,0,0,0.0,0,570,346,91,0.0,0.0
2025-09-08,654.6,3,2,1,0.0,0,661,455,120,0.0,218.2
2025-09-09,1619.28,5,2,3,0.0,0,397,265,44,0.0,323.86
2025-09-10,647.28,4,1,3,0.0,0,365,247,37,0.0,161.82
2025-09-11,650.52,5,3,2,0.0,0,375,262,69,0.0,130.1
2025-09-12,319.8,2,0,2,0.0,0,582,400,80,0.0,159.9
2025-09-13,0,0,0,0,0.0,0,348,239,48,0.0,0.0
2025-09-14,149.04,1,0,1,0.0,0,757,441,115,0.0,149.04
2025-09-15,577.92,3,1,2,0.0,0,486,326,88,0.0,192.64
2025-09-16,0,0,0,0,0.0,0,485,302,57,0.0,0.0
2025-09-17,0,0,0,0,0.0,0,503,285,70,0.0,0.0
2025-09-18,318.6,2,1,1,0.0,0,652,390,84,0.0,159.3
2025-09-19,234.36,1,1,0,0.0,0,595,349,92,0.0,234.36
2025-09-20,408.24,1,0,1,0.0,0,318,199,39,0.0,408.24
2025-09-21,278.76,2,1,1,0.0,0,624,419,78,0.0,139.38
2025-09-22,192.24,1,1,0,0.0,0,372,242,51,0.0,192.24
2025-09-23,0,0,0,0,0.0,0,571,344,76,0.0,0.0
2025-09-24,1243.08,4,1,3,0.0,0,561,319,54,0.0,310.77
2025-09-25,1025.04,3,1,2,0.0,0,521,334,66,0.0,341.68
2025-09-26,984.36,6,2,4,0.0,0,613,355,70,0.0,164.06
2025-09-27,0,0,0,0,0.0,0,768,491,125,0.0,0.0
2025-09-28,505.8,4,0,4,0.0,0,787,486,116,0.0,126.45
2025-09-29,108.12,1,1,0,0.0,0,371,217,47,0.0,108.12
2025-09-30,376.92,1,1,0,0.0,0,342,229,48,0.0,376.92
2025-10-01,3516.91,11,3,8,1338.73,127275,4490,3079,510,2.63,319.72
2025-10-02,3546.65,17,9,8,1338.51,90729,3308,2123,486,2.65,208.63
2025-10-03,1691.07,10,3,7,1444.48,99527,3869,2707,745,1.17,169.11
2025-10-04,3303.68,14,5,9,1444.89,118920,4430,3094,799,2.29,235.98
2025-10-05,4903.1,16,4,12,1245.77,111679,4293,2843,777,3.94,306.44
2025-10-06,2321.4,10,4,6,1316.66,95064,3424,2348,591,1.76,232.14
2025-10-07,3400.7,17,6,11,1469.34,133952,5006,3391,567,2.31,200.04
2025-10-08,720.3,7,3,4,1239.9,116823,4301,2377,622,0.58,102.9
2025-10-09,3580.77,14,5,9,1123.79,92878,3526,1981,547,3.19,255.77
2025-10-10,3333.5,13,7,6,1156.11,88931,3360,1913,360,2.88,256.42
2025-10-11,2870.86,10,3,7,1140.86,109516,4248,2918,488,2.52,287.09
2025-10-12,194.76,3,1,2,1170.84,106542,3906,2535,568,0.17,64.92
2025-10-13,3991.14,10,4,6,1133.64,97780,3564,2203,552,3.52,399.11
2025-10-14,2856.34,11,6,5,1230.17,83390,3309,1925,312,2.32,259.67
2025-10-15,1704.84,8,1,7,1406.27,103523,4062,2745,512,1.21,213.1
2025-10-16,4826.38,13,4,9,1183.74,91978,3369,2166,333,4.08,371.26
2025-10-17,2518.32,12,2,10,1407.95,125910,4440,2566,464,1.79,209.86
2025-10-18,2735.53,12,4,8,1316.21,106580,4068,2312,505,2.08,227.96
2025-10-19,1949.44,14,8,6,1216.38,83586,3403,2210,454,1.6,139.25
2025-10-20,2086.17,13,4,9,1180.4,83830,3221,2185,508,1.77,160.47
2025-10-21,1272.28,6,3,3,1114.18,76186,3191,1958,456,1.14,212.05
2025-10-22,3054.13,12,5,7,1151.05,100945,4021,2660,561,2.65,254.51
2025-10-23,4638.13,15,3,12,1389.73,125626,4650,3000,742,3.34,309.21
2025-10-24,1663.48,11,3,8,1282.19,121785,4561,3142,503,1.3,151.23
2025-10-25,2867.16,13,7,6,1268.59,103097,4045,2262,339,2.26,220.55
2025-10-26,2920.5,10,4,6,1271.84,104641,3765,2358,429,2.3,292.05
2025-10-27,2790.35,9,5,4,1112.88,108580,4013,2716,468,2.51,310.04
2025-10-28,2360.46,12,3,9,1439.48,101943,3571,2388,557,1.64,196.71
2025-10-29,1270.49,7,2,5,1172.51,87242,3319,2058,435,1.08,181.5
2025-10-30,2080.45,9,3,6,1222.15,121623,4508,2988,698,1.7,231.16
2025-10-31,3582.32,13,6,7,1431.05,136290,4757,3234,799,2.5,275.56
2025-11-01,3314.26,16,4,12,1229.35,85814,3190,1822,350,2.7,207.14
2025-11-02,2012.94,5,2,3,1294.41,106504,4010,2341,538,1.56,402.59
2025-11-03,2467.47,10,5,5,1239.77,105564,3746,2208,434,1.99,246.75
2025-11-04,1829.94,8,3,5,1200.57,113787,4332,2702,563,1.52,228.74
2025-11-05,2278.7,6,2,4,1356.81,96041,3465,2142,391,1.68,379.78
2025-11-06,1985.9,8,2,6,1229.91,90661,3429,2232,348,1.61,248.24
2025-11-07,4170.28,8,4,4,1448.44,99201,3528,2288,498,2.88,521.28
2025-11-08,2509.66,13,3,10,1432.1,116376,4473,2691,436,1.75,193.05
2025-11-09,3134.17,14,3,11,1130.99,77662,3264,2248,491,2.77,223.87
2025-11-10,4213.3,13,3,10,1148.19,108017,3977,2781,499,3.67,324.1
2025-11-11,1668.31,10,1,9,1293.91,90346,3384,1957,352,1.29,166.83
2025-11-12,4101.95,12,3,9,1370.72,100820,3949,2406,600,2.99,341.83
2025-11-13,1651.43,10,5,5,1171.4,80067,3112,1964,423,1.41,165.14
2025-11-14,2816.32,12,5,7,1184.62,86323,3214,1852,466,2.38,234.69
2025-11-15,1411.03,6,2,4,1171.27,83260,3352,2219,525,1.2,235.17
2025-11-16,643.68,2,0,2,0.0,0,536,321,76,0.0,321.84
2025-11-17,384.48,1,1,0,0.0,0,654,446,111,0.0,384.48
2025-11-18,569.16,2,1,1,0.0,0,426,257,55,0.0,284.58
2025-11-19,288.36,1,0,1,0.0,0,604,360,89,0.0,288.36
2025-11-20,3258.08,13,4,9,789.58,64236,2383,1625,365,4.13,250.62
2025-11-21,2804.04,13,3,10,905.12,63324,2813,1851,336,3.1,215.7
2025-11-22,1521.38,5,1,4,920.42,81481,3208,1849,359,1.65,304.28
2025-11-23,2597.74,14,6,8,837.37,75048,2767,1789,281,3.1,185.55
2025-11-24,6745.35,19,7,12,720.0,58979,2685,1852,352,9.37,355.02
2025-11-25,3523.51,10,4,6,736.81,53739,2060,1396,338,4.78,352.35
2025-11-26,1497.42,10,3,7,715.24,61113,2615,1691,383,2.09,149.74
2025-11-27,3339.22,12,9,3,823.56,62736,2455,1501,417,4.05,278.27
2025-11-28,731.96,7,4,3,820.89,69628,2858,1765,417,0.89,104.57
2025-11-29,3791.89,14,5,9,825.1,55284,2103,1320,328,4.6,270.85
2025-11-30,2965.93,13,6,7,743.29,52984,2259,1509,268,3.99,228.15
2025-12-01,2933.01,13,4,9,892.0,84788,3225,2134,341,3.29,225.62
2025-12-02,3638.43,19,6,13,811.18,60454,2349,1598,307,4.49,191.5
2025-12-03,2905.22,13,3,10,786.59,53911,2392,1419,330,3.69,223.48
2025-12-04,2834.7,15,6,9,795.37,65232,2887,1927,322,3.56,188.98
2025-12-05,5258.22,18,8,10,912.32,64854,2872,1607,389,5.76,292.12
2025-12-06,1187.48,10,4,6,768.33,63739,2510,1662,286,1.55,118.75
2025-12-07,2022.61,11,8,3,917.62,75206,3193,2059,566,2.2,183.87
2025-12-08,5247.44,19,12,7,899.07,73573,2680,1509,281,5.84,276.18
2025-12-09,4599.11,15,7,8,824.63,59900,2325,1451,325,5.58,306.61
2025-12-10,1065.15,6,3,3,846.44,56601,2181,1330,233,1.26,177.52
2025-12-11,2555.38,10,2,8,882.57,58861,2651,1768,352,2.9,255.54
2025-12-12,2474.29,10,5,5,703.63,49419,2306,1390,346,3.52,247.43
2025-12-13,1333.06,14,6,8,703.23,57631,2432,1681,443,1.9,95.22
2025-12-14,2414.66,15,5,10,815.42,70375,2899,1796,289,2.96,160.98
2025-12-15,2003.99,7,2,5,937.2,88700,3383,2141,496,2.14,286.28
2025-12-16,7800.79,18,5,13,897.31,75571,3132,2129,356,8.69,433.38
2025-12-17,4650.5,22,9,13,784.4,57828,2172,1373,321,5.93,211.39
