attribution_id,order_id,campaign_id,touchpoint_channel,touchpoint_type,attributed_revenue,attribution_weight,confidence_score
ATTR-00051,ORD-00051,CMP-2025-03,Email Marketing,Last Click,191.48,1.0,0.95
ATTR-00052,ORD-00052,CMP-2025-05,Meta Retargeting,Last Click,88.79,1.0,0.95
ATTR-00053,ORD-00053,CMP-ORGANIC,Direct Traffic,Direct,721.44,0.8,0.85
ATTR-00054,ORD-00054,CMP-2025-03,Instagram,Last Click,71.62,1.0,0.95
ATTR-00055,ORD-00055,CMP-2025-03,Email Marketing,Last Click,46.02,1.0,0.95
ATTR-00056,ORD-00056,CMP-ORGANIC,Direct Traffic,Direct,64.92,0.8,0.85
ATTR-00057,ORD-00057,CMP-2025-05,SMS,Last Click,88.9,1.0,0.95
ATTR-00058,ORD-00058,CMP-2025-01,LinkedIn,Last Click,80.26,1.0,0.95
ATTR-00059,ORD-00059,CMP-2025-01,Meta Ads,Last Click,97.32,1.0,0.95
ATTR-00060,ORD-00060,CMP-ORGANIC,Email Newsletter,Direct,149.04,0.8,0.85
ATTR-00061,ORD-00061,CMP-ORGANIC,Direct Traffic,Direct,97.32,0.8,0.85
ATTR-00062,ORD-00062,CMP-2025-02,Instagram Reels,Last Click,97.32,1.0,0.95
ATTR-00063,ORD-00063,CMP-2025-03,Pinterest,Last Click,269.24,1.0,0.95
ATTR-00064,ORD-00064,CMP-2025-02,Influencer,Last Click,114.7,1.0,0.95
ATTR-00065,ORD-00065,CMP-2025-02,Influencer,Last Click,75.72,1.0,0.95
ATTR-00066,ORD-00066,CMP-2025-04,Google Shopping,Last Click,134.14,1.0,0.95
ATTR-00067,ORD-00067,CMP-ORGANIC,Social Organic,Direct,192.24,0.8,0.85
ATTR-00068,ORD-00068,CMP-2025-05,SMS,Last Click,97.32,1.0,0.95
ATTR-00069,ORD-00069,CMP-ORGANIC,Direct Traffic,Direct,86.52,0.8,0.85
ATTR-00070,ORD-00070,CMP-2025-02,Instagram Reels,Last Click,1221.8,1.0,0.95
ATTR-00071,ORD-00071,CMP-2025-05,Meta Retargeting,Last Click,150.55,1.0,0.95
ATTR-00072,ORD-00072,CMP-2025-04,Meta Ads,Last Click,671.33,1.0,0.95
ATTR-00073,ORD-00073,CMP-2025-04,YouTube Video Ads,Last Click,257.47,1.0,0.95
ATTR-00074,ORD-00074,CMP-2025-03,Email Marketing,Last Click,116.64,1.0,0.95
ATTR-00075,ORD-00075,CMP-ORGANIC,Organic Search,Direct,213.84,0.8,0.85
ATTR-00076,ORD-00076,CMP-2025-02,Instagram Reels,Last Click,49.8,1.0,0.95
ATTR-00077,ORD-00077,CMP-ORGANIC,Email Newsletter,Direct,376.92,0.8,0.85
ATTR-00078,ORD-00078,CMP-2025-04,Google Shopping,Last Click,54.34,1.0,0.95
ATTR-00079,ORD-00079,CMP-2025-03,Pinterest,Last Click,376.92,1.0,0.95
ATTR-00080,ORD-00080,CMP-ORGANIC,Email Newsletter,Direct,64.92,0.8,0.85
ATTR-00081,ORD-00081,CMP-ORGANIC,Direct Traffic,Direct,239.76,0.8,0.85
ATTR-00082,ORD-00082,CMP-2025-02,Influencer,Last Click,37.06,1.0,0.95
ATTR-00083,ORD-00083,CMP-2025-03,Instagram,Last Click,128.74,1.0,0.95
ATTR-00084,ORD-00084,CMP-2025-02,Instagram Reels,Last Click,80.26,1.0,0.95
ATTR-00085,ORD-00085,CMP-2025-03,Email Marketing,Last Click,80.26,1.0,0.95
ATTR-00086,ORD-00086,CMP-2025-04,YouTube Video Ads,Last Click,139.32,1.0,0.95
ATTR-00087,ORD-00087,CMP-2025-03,Pinterest,Last Click,71.62,1.0,0.95
ATTR-00088,ORD-00088,CMP-2025-05,Google Remarketing,Last Click,549.88,1.0,0.95
ATTR-00089,ORD-00089,CMP-ORGANIC,Direct Traffic,Direct,622.08,0.8,0.85
ATTR-00090,ORD-00090,CMP-ORGANIC,Email Newsletter,Direct,97.32,0.8,0.85
ATTR-00091,ORD-00091,CMP-2025-03,Pinterest,Last Click,152.6,1.0,0.95
ATTR-00092,ORD-00092,CMP-2025-01,Google Search,Last Click,331.78,1.0,0.95
ATTR-00093,ORD-00093,CMP-2025-01,LinkedIn,Last Click,290.3,1.0,0.95
ATTR-00094,ORD-00094,CMP-ORGANIC,Email Newsletter,Direct,288.36,0.8,0.85
ATTR-00095,ORD-00095,CMP-2025-02,Instagram Reels,Last Click,88.79,1.0,0.95
ATTR-00096,ORD-00096,CMP-ORGANIC,Organic Search,Direct,353.16,0.8,0.85
ATTR-00097,ORD-00097,CMP-ORGANIC,Email Newsletter,Direct,1085.4,0.8,0.85
ATTR-00098,ORD-00098,CMP-ORGANIC,Organic Search,Direct,64.92,0.8,0.85
ATTR-00099,ORD-00099,CMP-2025-05,Meta Retargeting,Last Click,392.9,1.0,0.95
ATTR-00100,ORD-00100,CMP-ORGANIC,Social Organic,Direct,376.92,0.8,0.85
ATTR-00101,ORD-00101,CMP-ORGANIC,Social Organic,Direct,75.72,0.8,0.85
ATTR-00102,ORD-00102,CMP-2025-01,LinkedIn,Last Click,84.52,1.0,0.95
ATTR-00103,ORD-00103,CMP-ORGANIC,Social Organic,Direct,86.52,0.8,0.85
ATTR-00104,ORD-00104,CMP-2025-03,Pinterest,Last Click,98.51,1.0,0.95
ATTR-00105,ORD-00105,CMP-2025-03,Pinterest,Last Click,69.35,1.0,0.95
ATTR-00106,ORD-00106,CMP-2025-05,SMS,Last Click,103.37,1.0,0.95
ATTR-00107,ORD-00107,CMP-ORGANIC,Organic Search,Direct,108.12,0.8,0.85
ATTR-00108,ORD-00108,CMP-2025-03,Pinterest,Last Click,180.36,1.0,0.95
ATTR-00109,ORD-00109,CMP-2025-03,Pinterest,Last Click,582.23,1.0,0.95
ATTR-00110,ORD-00110,CMP-2025-02,Influencer,Last Click,64.92,1.0,0.95
ATTR-00111,ORD-00111,CMP-2025-01,Meta Ads,Last Click,79.07,1.0,0.95
ATTR-00112,ORD-00112,CMP-2025-05,Meta Retargeting,Last Click,98.5,1.0,0.95
ATTR-00113,ORD-00113,CMP-2025-01,Meta Ads,Last Click,646.92,1.0,0.95
ATTR-00114,ORD-00114,CMP-ORGANIC,Email Newsletter,Direct,139.32,0.8,0.85
ATTR-00115,ORD-00115,CMP-2025-03,Pinterest,Last Click,134.14,1.0,0.95
ATTR-00116,ORD-00116,CMP-2025-05,SMS,Last Click,841.75,1.0,0.95
ATTR-00117,ORD-00117,CMP-2025-04,Meta Ads,Last Click,46.02,1.0,0.95
ATTR-00118,ORD-00118,CMP-ORGANIC,Social Organic,Direct,43.32,0.8,0.85
ATTR-00119,ORD-00119,CMP-ORGANIC,Direct Traffic,Direct,108.12,0.8,0.85
ATTR-00120,ORD-00120,CMP-ORGANIC,Direct Traffic,Direct,75.72,0.8,0.85
ATTR-00121,ORD-00121,CMP-ORGANIC,Social Organic,Direct,159.84,0.8,0.85
ATTR-00122,ORD-00122,CMP-ORGANIC,Social Organic,Direct,139.32,0.8,0.85
ATTR-00123,ORD-00123,CMP-2025-04,Meta Ads,Last Click,631.58,1.0,0.95
ATTR-00124,ORD-00124,CMP-2025-04,YouTube Video Ads,Last Click,88.9,1.0,0.95
ATTR-00125,ORD-00125,CMP-2025-02,Influencer,Last Click,64.92,1.0,0.95
ATTR-00126,ORD-00126,CMP-2025-04,YouTube Video Ads,Last Click,549.88,1.0,0.95
ATTR-00127,ORD-00127,CMP-2025-03,Instagram,Last Click,59.63,1.0,0.95
ATTR-00128,ORD-00128,CMP-2025-05,Meta Retargeting,Last Click,38.62,1.0,0.95
ATTR-00129,ORD-00129,CMP-2025-03,Instagram,Last Click,56.98,1.0,0.95
ATTR-00130,ORD-00130,CMP-ORGANIC,Direct Traffic,Direct,75.72,0.8,0.85
ATTR-00131,ORD-00131,CMP-2025-03,Pinterest,Last Click,42.24,1.0,0.95
ATTR-00132,ORD-00132,CMP-ORGANIC,Social Organic,Direct,278.64,0.8,0.85
ATTR-00133,ORD-00133,CMP-ORGANIC,Email Newsletter,Direct,376.92,0.8,0.85
ATTR-00134,ORD-00134,CMP-2025-05,Meta Retargeting,Last Click,755.24,1.0,0.95
ATTR-00135,ORD-00135,CMP-ORGANIC,Social Organic,Direct,213.84,0.8,0.85
ATTR-00136,ORD-00136,CMP-2025-05,Meta Retargeting,Last Click,97.32,1.0,0.95
ATTR-00137,ORD-00137,CMP-2025-04,Meta Ads,Last Click,92.78,1.0,0.95
ATTR-00138,ORD-00138,CMP-2025-02,TikTok,Last Click,549.88,1.0,0.95
ATTR-00139,ORD-00139,CMP-2025-03,Instagram,Last Click,79.07,1.0,0.95
ATTR-00140,ORD-00140,CMP-2025-04,Google Shopping,Last Click,119.23,1.0,0.95
ATTR-00141,ORD-00141,CMP-2025-04,Meta Ads,Last Click,97.32,1.0,0.95
ATTR-00142,ORD-00142,CMP-ORGANIC,Social Organic,Direct,108.12,0.8,0.85
ATTR-00143,ORD-00143,CMP-ORGANIC,Social Organic,Direct,978.48,0.8,0.85
ATTR-00144,ORD-00144,CMP-2025-03,Pinterest,Last Click,909.74,1.0,0.95
ATTR-00145,ORD-00145,CMP-2025-02,TikTok,Last Click,64.92,1.0,0.95
ATTR-00146,ORD-00146,CMP-2025-02,Instagram Reels,Last Click,270.22,1.0,0.95
ATTR-00147,ORD-00147,CMP-2025-01,Google Search,Last Click,118.42,1.0,0.95
ATTR-00148,ORD-00148,CMP-2025-01,Google Search,Last Click,707.62,1.0,0.95
ATTR-00149,ORD-00149,CMP-2025-03,Email Marketing,Last Click,62.98,1.0,0.95
ATTR-00150,ORD-00150,CMP-2025-05,Google Remarketing,Last Click,222.05,1.0,0.95
ATTR-00151,ORD-00151,CMP-ORGANIC,Direct Traffic,Direct,160.92,0.8,0.85
ATTR-00152,ORD-00152,CMP-ORGANIC,Organic Search,Direct,64.92,0.8,0.85
ATTR-00153,ORD-00153,CMP-ORGANIC,Social Organic,Direct,139.32,0.8,0.85
ATTR-00154,ORD-00154,CMP-2025-01,Meta Ads,Last Click,860.76,1.0,0.95
ATTR-00155,ORD-00155,CMP-2025-03,Pinterest,Last Click,190.03,1.0,0.95
ATTR-00156,ORD-00156,CMP-ORGANIC,Social Organic,Direct,43.32,0.8,0.85
ATTR-00157,ORD-00157,CMP-2025-03,Instagram,Last Click,1164.46,1.0,0.95
ATTR-00158,ORD-00158,CMP-2025-04,YouTube Video Ads,Last Click,80.26,1.0,0.95
ATTR-00159,ORD-00159,CMP-ORGANIC,Direct Traffic,Direct,288.36,0.8,0.85
ATTR-00160,ORD-00160,CMP-2025-02,Influencer,Last Click,40.19,1.0,0.95
ATTR-00161,ORD-00161,CMP-2025-02,TikTok,Last Click,334.37,1.0,0.95
ATTR-00162,ORD-00162,CMP-2025-04,YouTube Video Ads,Last Click,234.36,1.0,0.95
ATTR-00163,ORD-00163,CMP-2025-05,SMS,Last Click,852.44,1.0,0.95
ATTR-00164,ORD-00164,CMP-ORGANIC,Email Newsletter,Direct,97.32,0.8,0.85
ATTR-00165,ORD-00165,CMP-2025-04,YouTube Video Ads,Last Click,135.86,1.0,0.95
ATTR-00166,ORD-00166,CMP-2025-05,Meta Retargeting,Last Click,93.7,1.0,0.95
ATTR-00167,ORD-00167,CMP-2025-05,Meta Retargeting,Last Click,276.48,1.0,0.95
ATTR-00168,ORD-00168,CMP-ORGANIC,Email Newsletter,Direct,64.92,0.8,0.85
ATTR-00169,ORD-00169,CMP-ORGANIC,Organic Search,Direct,170.64,0.8,0.85
ATTR-00170,ORD-00170,CMP-ORGANIC,Organic Search,Direct,201.96,0.8,0.85
ATTR-00171,ORD-00171,CMP-2025-03,Instagram,Last Click,62.98,1.0,0.95
ATTR-00172,ORD-00172,CMP-2025-03,Pinterest,Last Click,80.26,1.0,0.95
ATTR-00173,ORD-00173,CMP-ORGANIC,Organic Search,Direct,87.6,0.8,0.85
ATTR-00174,ORD-00174,CMP-2025-02,Influencer,Last Click,224.64,1.0,0.95
ATTR-00175,ORD-00175,CMP-2025-04,YouTube Video Ads,Last Click,42.24,1.0,0.95
ATTR-00176,ORD-00176,CMP-2025-02,Instagram Reels,Last Click,706.64,1.0,0.95
ATTR-00177,ORD-00177,CMP-2025-01,LinkedIn,Last Click,136.78,1.0,0.95
ATTR-00178,ORD-00178,CMP-ORGANIC,Email Newsletter,Direct,138.24,0.8,0.85
ATTR-00179,ORD-00179,CMP-2025-03,Pinterest,Last Click,88.79,1.0,0.95
ATTR-00180,ORD-00180,CMP-2025-04,Google Shopping,Last Click,181.76,1.0,0.95
ATTR-00181,ORD-00181,CMP-ORGANIC,Direct Traffic,Direct,473.04,0.8,0.85
ATTR-00182,ORD-00182,CMP-ORGANIC,Social Organic,Direct,139.32,0.8,0.85
ATTR-00183,ORD-00183,CMP-2025-01,Google Search,Last Click,136.78,1.0,0.95
ATTR-00184,ORD-00184,CMP-2025-02,TikTok,Last Click,1163.81,1.0,0.95
ATTR-00185,ORD-00185,CMP-2025-05,Meta Retargeting,Last Click,42.24,1.0,0.95
ATTR-00186,ORD-00186,CMP-ORGANIC,Social Organic,Direct,108.12,0.8,0.85
ATTR-00187,ORD-00187,CMP-2025-02,Influencer,Last Click,43.32,1.0,0.95
ATTR-00188,ORD-00188,CMP-ORGANIC,Organic Search,Direct,64.92,0.8,0.85
ATTR-00189,ORD-00189,CMP-ORGANIC,Social Organic,Direct,97.32,0.8,0.85
ATTR-00190,ORD-00190,CMP-2025-02,Instagram Reels,Last Click,88.79,1.0,0.95
ATTR-00191,ORD-00191,CMP-2025-01,Google Search,Last Click,124.42,1.0,0.95
ATTR-00192,ORD-00192,CMP-2025-04,YouTube Video Ads,Last Click,80.26,1.0,0.95
ATTR-00193,ORD-00193,CMP-ORGANIC,Social Organic,Direct,902.88,0.8,0.85
ATTR-00194,ORD-00194,CMP-2025-02,Influencer,Last Click,697.25,1.0,0.95
ATTR-00195,ORD-00195,CMP-ORGANIC,Email Newsletter,Direct,97.32,0.8,0.85
ATTR-00196,ORD-00196,CMP-2025-04,Meta Ads,Last Click,118.42,1.0,0.95
ATTR-00197,ORD-00197,CMP-2025-01,Meta Ads,Last Click,38.62,1.0,0.95
ATTR-00198,ORD-00198,CMP-2025-05,Google Remarketing,Last Click,549.88,1.0,0.95
ATTR-00199,ORD-00199,CMP-ORGANIC,Email Newsletter,Direct,97.32,0.8,0.85
ATTR-00200,ORD-00200,CMP-2025-05,Google Remarketing,Last Click,192.24,1.0,0.95
ATTR-00201,ORD-00201,CMP-ORGANIC,Social Organic,Direct,49.8,0.8,0.85
ATTR-00202,ORD-00202,CMP-2025-01,LinkedIn,Last Click,136.51,1.0,0.95
ATTR-00203,ORD-00203,CMP-ORGANIC,Organic Search,Direct,192.24,0.8,0.85
ATTR-00204,ORD-00204,CMP-2025-04,Meta Ads,Last Click,400.03,1.0,0.95
ATTR-00205,ORD-00205,CMP-2025-03,Email Marketing,Last Click,42.24,1.0,0.95
ATTR-00206,ORD-00206,CMP-2025-01,Google Search,Last Click,75.34,1.0,0.95
ATTR-00207,ORD-00207,CMP-2025-01,Google Search,Last Click,116.64,1.0,0.95
ATTR-00208,ORD-00208,CMP-2025-03,Email Marketing,Last Click,80.04,1.0,0.95
ATTR-00209,ORD-00209,CMP-2025-01,Google Search,Last Click,124.42,1.0,0.95
ATTR-00210,ORD-00210,CMP-2025-01,Google Search,Last Click,676.57,1.0,0.95
ATTR-00211,ORD-00211,CMP-ORGANIC,Email Newsletter,Direct,108.12,0.8,0.85
ATTR-00212,ORD-00212,CMP-ORGANIC,Social Organic,Direct,127.44,0.8,0.85
ATTR-00213,ORD-00213,CMP-2025-02,Influencer,Last Click,710.64,1.0,0.95
ATTR-00214,ORD-00214,CMP-2025-04,YouTube Video Ads,Last Click,332.32,1.0,0.95
ATTR-00215,ORD-00215,CMP-ORGANIC,Direct Traffic,Direct,75.72,0.8,0.85
ATTR-00216,ORD-00216,CMP-ORGANIC,Organic Search,Direct,646.92,0.8,0.85
ATTR-00217,ORD-00217,CMP-2025-01,LinkedIn,Last Click,134.14,1.0,0.95
ATTR-00218,ORD-00218,CMP-ORGANIC,Organic Search,Direct,149.04,0.8,0.85
ATTR-00219,ORD-00219,CMP-2025-01,Meta Ads,Last Click,98.51,1.0,0.95
ATTR-00220,ORD-00220,CMP-2025-04,Google Shopping,Last Click,40.19,1.0,0.95
ATTR-00221,ORD-00221,CMP-2025-03,Pinterest,Last Click,582.23,1.0,0.95
ATTR-00222,ORD-00222,CMP-2025-02,TikTok,Last Click,646.92,1.0,0.95
ATTR-00223,ORD-00223,CMP-ORGANIC,Organic Search,Direct,149.04,0.8,0.85
ATTR-00224,ORD-00224,CMP-2025-02,Influencer,Last Click,163.4,1.0,0.95
ATTR-00225,ORD-00225,CMP-2025-02,TikTok,Last Click,71.62,1.0,0.95
ATTR-00226,ORD-00226,CMP-ORGANIC,Direct Traffic,Direct,369.36,0.8,0.85
ATTR-00227,ORD-00227,CMP-ORGANIC,Email Newsletter,Direct,139.32,0.8,0.85
ATTR-00228,ORD-00228,CMP-2025-02,Influencer,Last Click,98.5,1.0,0.95
ATTR-00229,ORD-00229,CMP-2025-02,Instagram Reels,Last Click,135.86,1.0,0.95
ATTR-00230,ORD-00230,CMP-ORGANIC,Email Newsletter,Direct,64.92,0.8,0.85
ATTR-00231,ORD-00231,CMP-2025-03,Instagram,Last Click,93.7,1.0,0.95
ATTR-00232,ORD-00232,CMP-2025-02,Influencer,Last Click,64.92,1.0,0.95
ATTR-00233,ORD-00233,CMP-ORGANIC,Organic Search,Direct,839.16,0.8,0.85
ATTR-00234,ORD-00234,CMP-ORGANIC,Organic Search,Direct,186.84,0.8,0.85
ATTR-00235,ORD-00235,CMP-2025-02,TikTok,Last Click,128.74,1.0,0.95
ATTR-00236,ORD-00236,CMP-2025-02,TikTok,Last Click,517.54,1.0,0.95
ATTR-00237,ORD-00237,CMP-2025-02,Influencer,Last Click,69.35,1.0,0.95
ATTR-00238,ORD-00238,CMP-ORGANIC,Social Organic,Direct,623.16,0.8,0.85
ATTR-00239,ORD-00239,CMP-2025-02,Instagram Reels,Last Click,739.58,1.0,0.95
ATTR-00240,ORD-00240,CMP-2025-03,Email Marketing,Last Click,1226.45,1.0,0.95
ATTR-00241,ORD-00241,CMP-2025-04,Google Shopping,Last Click,103.37,1.0,0.95
ATTR-00242,ORD-00242,CMP-ORGANIC,Email Newsletter,Direct,139.32,0.8,0.85
ATTR-00243,ORD-00243,CMP-2025-03,Pinterest,Last Click,190.94,1.0,0.95
ATTR-00244,ORD-00244,CMP-2025-03,Email Marketing,Last Click,87.6,1.0,0.95
ATTR-00245,ORD-00245,CMP-ORGANIC,Organic Search,Direct,97.32,0.8,0.85
ATTR-00246,ORD-00246,CMP-ORGANIC,Organic Search,Direct,97.32,0.8,0.85
ATTR-00247,ORD-00247,CMP-2025-04,Google Shopping,Last Click,339.23,1.0,0.95
ATTR-00248,ORD-00248,CMP-ORGANIC,Organic Search,Direct,1023.84,0.8,0.85
ATTR-00249,ORD-00249,CMP-2025-01,LinkedIn,Last Click,62.98,1.0,0.95
ATTR-00250,ORD-00250,CMP-2025-05,Meta Retargeting,Last Click,98.51,1.0,0.95
ATTR-00251,ORD-00251,CMP-ORGANIC,Direct Traffic,Direct,257.04,0.8,0.85
ATTR-00252,ORD-00252,CMP-2025-05,Google Remarketing,Last Click,93.7,1.0,0.95
ATTR-00253,ORD-00253,CMP-ORGANIC,Organic Search,Direct,871.56,0.8,0.85
ATTR-00254,ORD-00254,CMP-ORGANIC,Social Organic,Direct,208.44,0.8,0.85
ATTR-00255,ORD-00255,CMP-2025-04,Google Shopping,Last Click,59.63,1.0,0.95
ATTR-00256,ORD-00256,CMP-2025-04,Google Shopping,Last Click,308.12,1.0,0.95
ATTR-00257,ORD-00257,CMP-ORGANIC,Organic Search,Direct,309.96,0.8,0.85
ATTR-00258,ORD-00258,CMP-2025-04,Meta Ads,Last Click,1119.96,1.0,0.95
ATTR-00259,ORD-00259,CMP-2025-03,Instagram,Last Click,69.35,1.0,0.95
ATTR-00260,ORD-00260,CMP-ORGANIC,Organic Search,Direct,75.72,0.8,0.85
ATTR-00261,ORD-00261,CMP-2025-04,Google Shopping,Last Click,136.78,1.0,0.95
ATTR-00262,ORD-00262,CMP-2025-05,Google Remarketing,Last Click,101.96,1.0,0.95
ATTR-00263,ORD-00263,CMP-ORGANIC,Email Newsletter,Direct,108.12,0.8,0.85
ATTR-00264,ORD-00264,CMP-2025-03,Email Marketing,Last Click,88.79,1.0,0.95
ATTR-00265,ORD-00265,CMP-ORGANIC,Direct Traffic,Direct,108.12,0.8,0.85
ATTR-00266,ORD-00266,CMP-ORGANIC,Organic Search,Direct,97.32,0.8,0.85
ATTR-00267,ORD-00267,CMP-2025-03,Email Marketing,Last Click,188.35,1.0,0.95
ATTR-00268,ORD-00268,CMP-2025-01,LinkedIn,Last Click,119.23,1.0,0.95
ATTR-00269,ORD-00269,CMP-2025-05,SMS,Last Click,456.25,1.0,0.95
ATTR-00270,ORD-00270,CMP-ORGANIC,Organic Search,Direct,86.52,0.8,0.85
ATTR-00271,ORD-00271,CMP-2025-04,YouTube Video Ads,Last Click,75.72,1.0,0.95
ATTR-00272,ORD-00272,CMP-2025-02,Instagram Reels,Last Click,170.64,1.0,0.95
ATTR-00273,ORD-00273,CMP-ORGANIC,Social Organic,Direct,170.64,0.8,0.85
ATTR-00274,ORD-00274,CMP-2025-03,Instagram,Last Click,97.32,1.0,0.95
ATTR-00275,ORD-00275,CMP-2025-01,Meta Ads,Last Click,654.48,1.0,0.95
ATTR-00276,ORD-00276,CMP-2025-01,LinkedIn,Last Click,192.46,1.0,0.95
ATTR-00277,ORD-00277,CMP-2025-03,Instagram,Last Click,582.23,1.0,0.95
ATTR-00278,ORD-00278,CMP-2025-02,TikTok,Last Click,49.8,1.0,0.95
ATTR-00279,ORD-00279,CMP-ORGANIC,Email Newsletter,Direct,97.32,0.8,0.85
ATTR-00280,ORD-00280,CMP-2025-01,Meta Ads,Last Click,144.83,1.0,0.95
ATTR-00281,ORD-00281,CMP-2025-05,SMS,Last Click,93.7,1.0,0.95
ATTR-00282,ORD-00282,CMP-2025-03,Pinterest,Last Click,136.51,1.0,0.95
ATTR-00283,ORD-00283,CMP-2025-01,Meta Ads,Last Click,163.3,1.0,0.95
ATTR-00284,ORD-00284,CMP-2025-01,Google Search,Last Click,582.23,1.0,0.95
ATTR-00285,ORD-00285,CMP-2025-04,Google Shopping,Last Click,66.16,1.0,0.95
ATTR-00286,ORD-00286,CMP-2025-01,Meta Ads,Last Click,1293.84,1.0,0.95
ATTR-00287,ORD-00287,CMP-2025-05,Meta Retargeting,Last Click,42.24,1.0,0.95
ATTR-00288,ORD-00288,CMP-2025-04,Google Shopping,Last Click,356.72,1.0,0.95
ATTR-00289,ORD-00289,CMP-ORGANIC,Organic Search,Direct,1561.68,0.8,0.85
